ranking,playerId,playerName,playerImageUrl,weight,height,backNumber,isRetire,isPlayer,osId,profile,enable,teamId,teamName,teamShortName,teamImageUrl,seasonId,year,upperCategoryId,categoryId,league,division,pitcherEra,pitcherWin,pitcherLose,pitcherSave,pitcherHold,pitcherGameCount,pitcherInning,pitcherKk,pitcherHit,pitcherHr,pitcherR,pitcherEr,pitcherBb,pitcherHp,pitcherWra,pitcherQs,pitcherWhip,pitcherInningKk,pitcherInningBb,pitcherKkBbRate,pitcherPaKkRate,pitcherPaBbRate,pitcherWpa,pitcherWar,pitcherStart,pitcherPitchCount,isQualified,isKoreanPlayer,collect_year,sort_source
,64596,김유영,https://sports-phinf.pstatic.net/player/kbo/default/64596.png,83,180,0,N,Y,621011,"{""name"":""김유영"",""image"":""https://ssl.pstatic.net/sstatic/people/profileImg/t/513a4065-ac73-4dca-a9ba-7d0fd62d36db.png"",""teamName"":""LG 트윈스"",""teamCode"":""LG"",""position"":""투수"",""backNumber"":""0"",""retire"":null,""job"":[""야구선수""],""viewName"":"""",""keyword"":""김유영"",""os"":621011}",Y,LT,롯데,롯데,https://sports-phinf.pstatic.net/team/kbo/default/LT.png?type=f92_88,2016,2016,kbaseball,kbo,,,6.5534,0,1,1,3,46,34 1/3,31,37,3,32,25,30,0,0.0,0,1.95,8.13,7.86,1.03,18.1,17.5,-1.279,-0.38,,,False,False,2016,pitcherEra
,61329,윤지웅,https://sports-phinf.pstatic.net/player/kbo/default/61329.png,75,180,38,Y,Y,164088,"{""name"":""윤지웅"",""image"":""https://ssl.pstatic.net/sstatic/people/35/20190404163709981.png"",""teamName"":null,""teamCode"":null,""position"":null,""backNumber"":null,""retire"":""Y"",""job"":[""전 야구선수""],""viewName"":"""",""keyword"":""윤지웅"",""os"":164088}",Y,LG,LG,LG,https://sports-phinf.pstatic.net/team/kbo/default/LG.png?type=f92_88,2016,2016,kbaseball,kbo,,,6.54545,4,2,0,11,59,44,37,48,4,33,32,18,4,0.66666666666,0,1.5,7.57,3.68,2.06,18.9,9.2,0.028,-0.63,,,False,False,2016,pitcherEra
,60342,정회찬,https://sports-phinf.pstatic.net/player/kbo/default/60342.png,105,194,41,N,Y,178816,"{""name"":""정회찬"",""image"":""https://ssl.pstatic.net/sstatic/people/portrait/201403/20140310220939441.jpg"",""teamName"":null,""teamCode"":null,""position"":null,""backNumber"":null,""retire"":""Y"",""job"":[""야구선수""],""viewName"":"""",""keyword"":""정회찬"",""os"":178816}",Y,WO,넥센,넥센,https://sports-phinf.pstatic.net/team/kbo/default/WO.png?type=f92_88,2016,2016,kbaseball,kbo,,,6.51724,0,0,0,0,11,9 2/3,2,8,0,7,7,9,2,0.0,0,1.76,1.8599999999999999,8.38,0.22,4.3,19.1,-0.079,-0.03,,,False,False,2016,pitcherEra
,61101,임찬규,https://sports-phinf.pstatic.net/player/kbo/default/61101.png,80,185,1,N,Y,182237,"{""name"":""임찬규"",""image"":""https://ssl.pstatic.net/sstatic/people/profileImg/t/d681542b-9f7c-4577-a9fd-b098d851d6be.png"",""teamName"":""LG 트윈스"",""teamCode"":""LG"",""position"":""투수"",""backNumber"":""1"",""retire"":null,""job"":[""야구선수""],""viewName"":""Chan Kyu Im"",""keyword"":""임찬규"",""os"":182237}",Y,LG,LG,LG,https://sports-phinf.pstatic.net/team/kbo/default/LG.png?type=f92_88,2016,2016,kbaseball,kbo,,,6.51064,3,3,0,1,15,47,38,46,6,35,34,32,6,0.5,0,1.6600000000000001,7.28,6.13,1.19,17.7,14.9,-0.722,-0.25,,,False,False,2016,pitcherEra
,60636,심동섭,https://sports-phinf.pstatic.net/player/kbo/default/60636.png,93,185,1,Y,Y,174878,"{""name"":""심동섭"",""image"":""https://ssl.pstatic.net/sstatic/people/146/202103241940402851.png"",""teamName"":null,""teamCode"":null,""position"":null,""backNumber"":null,""retire"":""Y"",""job"":[""전 야구선수""],""viewName"":"""",""keyword"":""심동섭"",""os"":174878}",Y,HT,KIA,KIA,https://sports-phinf.pstatic.net/team/kbo/default/HT.png?type=f92_88,2016,2016,kbaseball,kbo,,,6.45133,5,2,1,13,54,37 2/3,33,45,5,30,27,21,4,0.71428571428,0,1.75,7.88,5.02,1.5699999999999998,18.1,11.5,-0.178,-0.39,,,False,False,2016,pitcherEra
,66750,카스티요,https://sports-phinf.pstatic.net/player/kbo/default/66750.png,111,189,48,N,Y,,,Y,HH,한화,한화,https://sports-phinf.pstatic.net/team/kbo/default/HH.png?type=f92_88,2016,2016,kbaseball,kbo,,,6.42857,7,4,0,0,20,84,60,106,7,62,60,40,10,0.63636363636,5,1.74,6.43,4.29,1.5,15.3,10.2,-1.463,1.0,,,False,False,2016,pitcherEra
,73801,송은범,https://sports-phinf.pstatic.net/player/kbo/default/73801.png,93,182,46,N,Y,96721,"{""name"":""송은범"",""image"":""https://ssl.pstatic.net/sstatic/people/profileImg/t/004f3006-bf72-48eb-aa22-78090fa7bfa6.png"",""teamName"":null,""teamCode"":null,""position"":null,""backNumber"":null,""retire"":""Y"",""job"":[""야구선수""],""viewName"":"""",""keyword"":""송은범"",""os"":96721}",Y,HH,한화,한화,https://sports-phinf.pstatic.net/team/kbo/default/HH.png?type=f92_88,2016,2016,kbaseball,kbo,,,6.41803,2,11,0,1,30,122,85,159,13,95,87,49,5,0.15384615384,4,1.7,6.27,3.61,1.73,15.1,8.7,-2.949,1.42,,,False,False,2016,pitcherEra
,76757,유원상,https://sports-phinf.pstatic.net/player/kbo/default/76757.png,93,187,55,N,Y,115799,"{""name"":""유원상"",""image"":""https://ssl.pstatic.net/sstatic/people/39/202103291910177031.png"",""teamName"":null,""teamCode"":null,""position"":null,""backNumber"":null,""retire"":""Y"",""job"":[""야구선수""],""viewName"":"""",""keyword"":""유원상"",""os"":115799}",Y,LG,LG,LG,https://sports-phinf.pstatic.net/team/kbo/default/LG.png?type=f92_88,2016,2016,kbaseball,kbo,,,6.38,2,1,0,1,19,24,15,31,3,18,17,13,2,0.66666666666,0,1.83,5.63,4.88,1.15,13.0,11.3,-0.907,-0.5,,,False,False,2016,pitcherEra
,65348,박주현,https://sports-phinf.pstatic.net/player/kbo/default/65348.png,108,184,45,N,Y,2313327,"{""name"":""박주현"",""image"":""https://ssl.pstatic.net/sstatic/people/91/202303291843468811.png"",""teamName"":null,""teamCode"":null,""position"":null,""backNumber"":null,""retire"":""Y"",""job"":[""야구선수""],""viewName"":"""",""keyword"":""박주현"",""os"":2313327}",Y,WO,넥센,넥센,https://sports-phinf.pstatic.net/team/kbo/default/WO.png?type=f92_88,2016,2016,kbaseball,kbo,,,6.35294,7,5,0,0,30,119,71,153,19,89,84,37,8,0.58333333333,5,1.6,5.37,2.8,1.92,13.2,6.9,-2.019,1.08,,,False,False,2016,pitcherEra
,60105,배민관,https://sports-phinf.pstatic.net/player/kbo/default/60105.png,93,185,28,N,Y,215149,"{""name"":""배민관"",""image"":""https://ssl.pstatic.net/sstatic/people/162/201802061038072951.png"",""teamName"":null,""teamCode"":null,""position"":null,""backNumber"":null,""retire"":""Y"",""job"":[""야구선수""],""viewName"":"""",""keyword"":""배민관"",""os"":215149}",Y,LG,LG,LG,https://sports-phinf.pstatic.net/team/kbo/default/LG.png?type=f92_88,2016,2016,kbaseball,kbo,,,6.35294,0,0,0,0,2,5 2/3,1,5,3,4,4,1,0,0.0,0,1.06,1.5899999999999999,1.5899999999999999,1.0,4.3,4.3,0.0,-0.14,,,False,False,2016,pitcherEra
