player_name,fa_year,age_at_fa,position,games_3yr_avg,ab_3yr_avg,avg_3yr_avg,obp_3yr_avg,slg_3yr_avg,ops_3yr_avg,isop_3yr_avg,babip_3yr_avg,woba_3yr_avg,wrc_plus_3yr_avg,hr_3yr_avg,rbi_3yr_avg,run_3yr_avg,hit_3yr_avg,double_3yr_avg,triple_3yr_avg,bb_3yr_avg,hp_3yr_avg,kk_3yr_avg,sb_3yr_avg,cs_3yr_avg,gd_3yr_avg,wpa_3yr_avg,war_3yr_avg,war_3yr_sum,war_last_year,ops_last_year,wrc_plus_last_year,contract_years,total_contract_amount,annual_avg_salary,team,mvp_count,golden_glove_count,allstar_count,national_team,postseason_experience,star_score,war_trend,ops_trend,woba_trend,war_std,ops_std,war_peak,ops_peak,hr_peak,war_sum_sq,ops_sq,is_prime
손시헌,2018,38,SS,124.66666666666669,376.6666666666667,0.3000033610903376,0.3663333333333334,0.4223333333333334,0.7886666666666665,0.1223333333333333,0.329,0.3466666666666667,38.166666666666664,7.666666666666667,47.333333333333336,41.333333333333336,111.33333333333331,20.666666666666668,1.6666666666666667,30.0,11.666666666666666,52.666666666666664,1.6666666666666667,,,0.0043333333333333,2.2984591374816943,6.895377412445083,2.7,0.833,114.5,2,15.0,7.5,NC,0,0,3,1,1,6,0.40197185200230434,0.04433333333333345,0.012333333333333307,0.3146475659202443,0.05114901975817544,2.7,0.833,13,47.546229660057854,0.6219951111111108,0
정의윤,2018,32,OF,115.66666666666669,394.6666666666667,0.3173813715987785,0.3703333333333333,0.5143333333333334,0.8846666666666666,0.1969999999999999,0.3366666666666666,0.3893333333333333,39.86666666666667,18.666666666666668,65.33333333333333,50.0,124.66666666666669,20.666666666666668,0.3333333333333333,23.333333333333332,9.333333333333334,61.0,2.3333333333333335,,,1.290333333333333,2.626037907874422,7.878113723623266,2.2,0.863,119.6,4,29.0,7.25,SK,0,0,2,0,1,3,-0.42563388063592233,-0.021666666666666612,-0.006333333333333302,0.6349978516130449,0.034969828265075754,3.52325755067467,0.934,27,62.064675842341245,0.782635111111111,1
채태인,2018,36,1B,112.33333333333331,348.3333333333333,0.3188240872451398,0.3803333333333333,0.458,0.8383333333333334,0.1393333333333333,0.4066666666666667,0.3723333333333333,36.6,9.0,61.0,36.666666666666664,110.66666666666669,18.666666666666668,1.3333333333333333,34.333333333333336,3.3333333333333335,92.66666666666669,0.0,,,0.8119999999999999,2.272641779490977,6.81792533847293,1.94,0.888,109.8,2,10.0,5.0,롯데,0,1,4,1,1,10,-0.3332263510809663,0.04966666666666664,0.014666666666666661,0.29571573882909985,0.06812896267781829,2.6586815849553287,0.888,12,46.48410592099122,0.7028027777777779,0
김상수,2019,29,SS,113.5,405.5,0.2668214387016414,0.32,0.347,0.667,0.0799999999999999,0.3005,0.302,30.45,6.5,44.0,59.5,108.0,13.0,0.5,25.0,8.0,65.0,9.0,,,-2.0085,0.2347196032165867,0.7041588096497602,-0.46,0.676,60.9,3,18.0,6.0,삼성,0,1,5,1,1,11,-0.6942456277430966,0.23133333333333334,0.10266666666666666,0.682872369058692,0.3145126741837636,1.16273688322929,0.676,10,0.4958396292073672,0.44488900000000003,0
김민성,2019,31,IF,134.0,465.0,0.2903183307221194,0.3543333333333333,0.4506666666666666,0.805,0.1603333333333333,0.3256666666666667,0.3533333333333333,55.96666666666667,14.0,71.0,60.333333333333336,135.33333333333334,29.666666666666668,2.0,45.333333333333336,5.333333333333333,87.33333333333333,2.3333333333333335,,,0.0776666666666667,2.1294991405620354,6.388497421686106,0.66,0.765,81.0,3,18.0,6.0,LG,0,0,2,0,1,3,-1.4701560273587027,-0.040000000000000036,-0.01533333333333331,1.3659555830778016,0.045723808531952646,3.950468082076108,0.869,17,40.81289930689002,0.6480250000000001,1
이용규,2019,34,OF,101.33333333333331,374.0,0.3025395887699726,0.383,0.3613333333333333,0.7443333333333334,0.0586666666666666,0.3316666666666667,0.348,49.76666666666667,1.3333333333333333,29.666666666666668,70.33333333333333,116.66666666666669,14.0,2.0,46.333333333333336,7.0,37.0,20.333333333333332,,,-0.1586666666666666,1.424019674450724,4.272059023352172,1.4,0.711,80.3,3,26.0,8.67,한화,0,2,7,1,1,16,-0.025513203198679113,-0.03333333333333344,-0.014000000000000012,1.2071370561320327,0.09364590517238623,2.9165396095960374,0.872,3,18.250488299004715,0.5540321111111112,0
송광민,2019,36,IF,115.33333333333331,440.0,0.3165443940616181,0.35,0.4869999999999999,0.8370000000000001,0.1706666666666666,0.361,0.3696666666666666,66.43333333333334,16.0,79.0,71.33333333333333,139.33333333333334,25.666666666666668,0.6666666666666666,22.333333333333332,3.6666666666666665,89.0,3.0,,,0.2416666666666666,2.184479202128729,6.553437606386186,1.24,0.805,92.3,2,16.0,8.0,한화,0,0,2,0,1,3,-0.9446529291655297,-0.03200000000000003,-0.009666666666666657,0.7354773192725902,0.028390139133156765,3.0339587874965894,0.874,18,42.947544460796706,0.7005690000000001,0
모창민,2019,34,IF,108.5,380.5,0.2954909657595671,0.3445,0.4915,0.836,0.1959999999999999,0.3115,0.3665,115.95,17.0,76.0,51.0,114.0,17.5,2.0,30.0,2.0,66.0,5.5,,,1.104,1.2466666666666668,3.74,1.12,0.826,110.0,3,20.0,6.67,NC,0,0,2,0,1,3,-0.32679401895254556,-0.022666666666666613,-0.014000000000000012,0.8562748418520053,0.019686430746977884,2.62,0.874,17,13.987600000000002,0.698896,0
박경수,2019,35,IF,129.0,434.0,0.2792950027864589,0.3726666666666666,0.4746666666666666,0.8473333333333334,0.1956666666666665,0.3263333333333333,0.373,57.96666666666666,20.0,73.33333333333333,63.666666666666664,120.66666666666669,23.333333333333332,0.6666666666666666,60.0,6.666666666666667,109.0,2.6666666666666665,,,0.503,3.170869674270191,9.512609022810572,3.08,0.826,91.6,3,26.0,8.67,KT,0,1,5,1,1,11,-0.09162531409624997,-0.021333333333333426,-0.008000000000000007,0.8332572326974058,0.06386096007908293,4.234875942288749,0.934,25,90.48973042085711,0.7179737777777778,0
박용택,2019,42,OF,136.66666666666666,514.0,0.3310075136099821,0.3993333333333333,0.4676666666666667,0.867,0.1366666666666667,0.373,0.3853333333333333,98.7,13.333333333333334,85.33333333333333,85.33333333333333,170.0,28.333333333333332,1.0,59.0,5.0,88.66666666666667,4.333333333333333,,,2.879,4.242004304884469,12.726012914653408,3.33,0.828,135.2,2,25.0,12.5,LG,0,3,10,1,1,22,-0.913088214182058,-0.039000000000000035,-0.02033333333333337,0.7960807555748606,0.030692018506445637,5.27,0.903,15,161.95140470392533,0.7516889999999999,0
최정,2019,32,3B,128.66666666666666,445.3333333333333,0.2827071447664872,0.3993333333333333,0.6036666666666667,1.003,0.3209999999999999,0.2946666666666667,0.4243333333333334,87.23333333333335,40.333333333333336,97.66666666666669,96.66666666666669,126.33333333333331,19.333333333333332,1.0,68.33333333333333,21.666666666666668,120.66666666666669,3.6666666666666665,,,2.766,4.4622617338658115,13.386785201597434,2.54,0.915,114.4,6,106.0,17.67,SK,0,5,8,1,1,26,-1.9224606050000324,-0.08799999999999986,-0.03133333333333338,1.3715997242711429,0.08125679458769379,5.647381815000097,1.111,46,179.20601803370803,1.0060089999999997,1
이재원,2019,31,C,130.0,409.0,0.3093880210668531,0.3845,0.475,0.8595,0.1654999999999999,0.3365,0.379,64.4,16.0,60.5,56.0,126.5,19.5,0.0,43.0,10.5,70.5,0.5,,,0.674,1.962103778445222,5.886311335335666,3.03,0.919,128.8,4,69.0,17.25,SK,0,0,2,0,1,3,1.0678922525721133,0.346,0.15133333333333338,1.3892302457188577,0.40807433963270306,3.03,0.919,17,34.648661136501154,0.7387402500000001,1
양의지,2019,32,C,117.33333333333331,372.6666666666667,0.3178550494837759,0.4013333333333333,0.5316666666666666,0.933,0.2136666666666665,0.311,0.4066666666666667,97.66666666666669,19.666666666666668,70.0,65.66666666666667,119.66666666666669,20.333333333333332,0.3333333333333333,42.666666666666664,12.333333333333334,40.666666666666664,3.0,,,1.243,4.0714196807514496,12.214259042254348,6.01,1.012,165.0,4,125.0,31.25,NC,1,3,6,1,1,23,1.9383285749912726,0.07900000000000007,0.02733333333333332,1.3712756221758367,0.08563877626402659,6.01,1.012,23,149.18812395129208,0.8704890000000001,1
안치홍,2020,30,2B,122.33333333333331,447.6666666666667,0.3244147187144918,0.3816666666666666,0.496,0.8776666666666667,0.1716666666666666,0.3373333333333333,0.3859999999999999,127.90000000000002,16.333333333333332,86.66666666666667,76.0,145.66666666666666,28.333333333333332,1.3333333333333333,39.666666666666664,5.0,54.666666666666664,5.333333333333333,,,1.7163333333333337,4.373333333333333,13.12,2.81,0.792,123.6,4,56.0,14.0,롯데,0,1,5,1,1,11,-1.563333333333333,-0.08566666666666667,-0.030999999999999972,1.1087630745815606,0.06680485677620217,5.26,0.955,23,172.13439999999997,0.7702987777777779,1
이성열,2020,36,OF,113.66666666666669,393.0,0.2860089551035315,0.3513333333333333,0.5376666666666666,0.8889999999999999,0.2516666666666666,0.3349999999999999,0.3866666666666666,119.03333333333332,25.333333333333332,84.0,59.0,111.66666666666669,19.333333333333332,1.0,34.0,7.666666666666667,112.33333333333331,6.666666666666667,,,1.2223333333333333,3.0033333333333334,9.01,3.01,0.807,115.3,2,14.0,7.0,한화,0,0,3,0,1,4,0.0066666666666663765,-0.08199999999999985,-0.031666666666666676,0.35928942217784376,0.06294441992742483,3.44,0.96,34,81.1801,0.7903209999999998,0
김태균,2020,38,1B,98.0,347.6666666666667,0.3198993849657522,0.3843333333333333,0.472,0.8563333333333333,0.1519999999999999,0.368,0.3776666666666666,111.93333333333334,11.0,57.333333333333336,41.0,111.0,18.0,0.0,36.666666666666664,4.333333333333333,68.66666666666667,1.0,,,0.4346666666666667,2.3266666666666667,6.98,3.02,0.777,115.7,1,10.0,10.0,한화,1,3,9,1,1,26,0.6933333333333334,-0.07933333333333326,-0.020666666666666667,0.9314624105256327,0.0755616010653265,3.02,0.958,17,48.720400000000005,0.7333067777777776,0
전준우,2020,33,OF,131.66666666666666,518.6666666666666,0.321174390258939,0.3763333333333333,0.5253333333333333,0.9016666666666668,0.2039999999999999,0.3366666666666666,0.3936666666666666,117.83333333333331,24.333333333333332,80.66666666666667,93.0,166.66666666666666,31.0,1.3333333333333333,41.333333333333336,7.0,74.33333333333333,5.666666666666667,,,1.0503333333333331,4.456666666666667,13.37,4.7,0.84,118.6,4,34.0,8.5,롯데,0,0,4,1,1,7,0.24333333333333318,-0.06166666666666676,-0.02466666666666667,0.9104699641149921,0.0652805909559308,5.43,0.992,33,178.75689999999997,0.8130027777777781,0
김선빈,2020,31,2B,128.33333333333334,431.3333333333333,0.3188124641677377,0.3846666666666666,0.407,0.7916666666666666,0.0879999999999999,0.3376666666666667,0.3606666666666667,111.43333333333334,4.0,51.0,70.66666666666667,138.66666666666666,24.333333333333332,1.0,43.333333333333336,5.0,36.0,4.333333333333333,,,0.2173333333333333,2.963333333333334,8.89,2.69,0.731,116.0,4,40.0,10.0,KIA,0,2,5,1,1,14,-0.27333333333333343,-0.06066666666666665,-0.017666666666666664,1.3206143351570216,0.07476778866746177,4.7,0.897,5,79.03210000000001,0.626736111111111,1
유한준,2020,39,OF,131.0,458.0,0.3205894312393799,0.3863333333333333,0.4706666666666667,0.8570000000000001,0.15,0.338,0.3816666666666666,112.06666666666668,15.666666666666666,79.0,57.333333333333336,146.66666666666666,19.666666666666668,0.6666666666666666,48.0,2.6666666666666665,57.666666666666664,1.3333333333333333,,,1.5296666666666667,3.283333333333333,9.85,4.43,0.826,125.4,2,20.0,10.0,KT,0,0,3,0,1,4,1.1466666666666665,-0.03100000000000014,-0.010666666666666658,1.1506906138875421,0.05855481762132526,4.43,0.939,20,97.0225,0.7344490000000001,0
김강민,2020,38,OF,98.33333333333331,280.0,0.2621979184976654,0.33,0.415,0.745,0.1526666666666666,0.3173333333333334,0.3306666666666666,87.03333333333335,9.0,38.0,41.666666666666664,74.66666666666667,11.0,1.0,22.666666666666668,4.666666666666667,70.0,11.666666666666666,,,-0.8086666666666668,1.0733333333333333,3.22,1.73,0.694,79.2,2,10.0,5.0,SK,0,2,6,1,1,15,0.6566666666666667,-0.051000000000000045,-0.02366666666666667,0.9005307077249257,0.1163643702628372,1.73,0.906,14,10.368400000000001,0.555025,0
오지환,2020,30,SS,128.33333333333334,446.6666666666667,0.2672380864884117,0.3516666666666666,0.3936666666666666,0.7453333333333334,0.1263333333333333,0.3456666666666666,0.341,121.5,9.333333333333334,54.333333333333336,67.66666666666667,119.33333333333331,20.666666666666668,3.6666666666666665,53.666666666666664,6.333333333333333,121.33333333333331,15.666666666666666,,,-0.5223333333333333,2.5233333333333334,7.57,3.98,0.717,128.9,4,40.0,10.0,LG,0,2,5,1,1,14,1.4566666666666666,-0.028333333333333433,-0.0030000000000000027,1.070025960225057,0.021483844059096043,3.98,0.769,11,57.3049,0.5555217777777779,1
오재원,2020,35,2B,129.5,403.5,0.274711676013723,0.3505,0.408,0.7585,0.1329999999999999,0.3419999999999999,0.3385,105.45,11.0,60.5,60.5,113.5,20.0,1.0,44.0,2.0,102.0,11.0,,,0.916,1.3533333333333333,4.06,0.0,,,3,19.0,6.33,두산,0,0,3,0,1,4,-1.3533333333333333,-0.5056666666666666,-0.22566666666666668,1.4352080762810047,0.36256156565318515,3.34,0.832,15,16.483599999999996,0.5753222499999999,0
박석민,2020,35,3B,105.33333333333331,332.3333333333333,0.2552992514606047,0.3739999999999999,0.4523333333333333,0.8263333333333334,0.1966666666666666,0.2896666666666667,0.3703333333333333,121.36666666666667,16.333333333333332,61.666666666666664,44.0,85.0,15.333333333333334,0.6666666666666666,51.333333333333336,13.333333333333334,80.33333333333333,1.0,,,-0.307,1.9633333333333336,5.890000000000001,3.22,0.871,144.2,3,34.0,11.33,NC,0,2,7,1,1,16,1.2566666666666666,0.04466666666666663,0.018666666666666665,0.8944396135135242,0.03306895153396241,3.22,0.871,19,34.6921,0.6828267777777778,0
김성현,2021,31,IF,137.33333333333334,394.6666666666667,0.2649081110711477,0.3246666666666666,0.326,0.6506666666666666,0.0613333333333332,0.285,0.3023333333333333,72.86666666666666,2.3333333333333335,38.0,43.333333333333336,104.33333333333331,14.666666666666666,1.3333333333333333,30.666666666666668,5.333333333333333,37.333333333333336,4.333333333333333,,,-2.421666666666667,0.56,1.6800000000000002,0.89,0.657,71.9,3,11.0,3.67,SK,0,1,4,1,1,10,0.32999999999999996,0.006333333333333413,0.004666666666666652,0.35953673896650207,0.03741954331926329,0.89,0.693,4,2.8224000000000005,0.423367111111111,1
김용의,2021,33,OF,109.66666666666669,136.0,0.2406700229721205,0.3036666666666667,0.2936666666666667,0.5973333333333333,0.0529999999999999,0.2956666666666667,0.2776666666666667,72.13333333333334,0.3333333333333333,14.0,30.333333333333332,31.666666666666668,2.6666666666666665,1.3333333333333333,14.333333333333334,0.6666666666666666,28.333333333333332,8.333333333333334,,,-0.6,0.0033333333333333,0.01,0.2,0.654,77.1,1,2.0,2.0,LG,0,0,2,0,1,3,0.19666666666666668,0.056666666666666754,0.006333333333333302,0.17745108872274887,0.04534558657931576,0.2,0.654,1,0.0001,0.356807111111111,0
