player_name,fa_year,age_at_fa,team,annual_avg_salary,games_3yr_avg,innings_3yr_avg,win_3yr_avg,lose_3yr_avg,save_3yr_avg,hold_3yr_avg,qs_3yr_avg,so_3yr_avg,bb_3yr_avg,hit_allowed_3yr_avg,wpa_3yr_avg,war_3yr_avg,war_3yr_sum,war_seasons_valid,era_3yr_avg,whip_3yr_avg,k9_3yr_avg,bb9_3yr_avg,k_bb_3yr_avg,ip_per_game_3yr_avg,active_seasons,war_last_year,era_last_year,whip_last_year,pitcher_role,mvp_count,golden_glove_count,national_team,star_score,age_squared,prime_years_left,hit_per_inn,whip_era_ratio,win_rate,star_x_war,role_x_save,role_x_hold,role_x_inn,market_level,role_enc,player_id,seasons_used
주권,2024,29,KT,4.0,54.0,48.889,2.3333333333333335,3.0,0.3333333333333333,15.666666666666666,0.0,22.333333333333332,15.333333333333334,51.666666666666664,1.0743333333333334,0.66,1.98,3,3.8659082317767455,1.3714543830582204,4.114116808825434,2.8229740841498088,1.9596634553103287,0.9244476126190623,3,0.21,4.40426,1.45,RP,0,0,2,4,841,6,1.0568157799641362,0.35475606269834015,0.4375,7.92,0.0,0.0,0.0,6.25,1,65060,"2021,2022,2023"
함덕주,2024,29,LG,9.5,28.666666666666668,29.778000000000002,1.6666666666666667,0.6666666666666666,1.3333333333333333,5.666666666666667,0.0,30.0,15.333333333333334,20.333333333333332,0.9999999999999999,0.8666666666666666,2.5999999999999996,3,2.3171622165133097,1.1975378915082724,9.06727852777218,4.636537712405131,2.1617146886963527,1.0553240311639465,3,2.26,1.61677,0.97,SU,0,0,3,6,841,6,0.6828307251438421,0.516812281407832,0.7142857142857143,15.599999999999998,0.0,5.666666666666667,0.0,6.25,3,63248,"2021,2022,2023"
임찬규,2024,32,LG,12.5,23.333333333333332,113.00033333333333,7.0,7.333333333333333,0.0,0.3333333333333333,5.666666666666667,81.66666666666667,44.666666666666664,110.33333333333333,1.5996666666666666,1.4066666666666665,4.22,3,4.0353980060530805,1.3706489656372698,6.504768982982352,3.559066020454217,1.838171037843546,4.862341273329578,3,2.38,3.42166,1.35,SP,0,0,1,2,1024,3,0.9763982997100303,0.3396564511310413,0.48837209302325585,8.44,0.0,0.0,113.00033333333333,6.25,2,61101,"2021,2022,2023"
오승환,2024,42,삼성,11.0,59.666666666666664,60.55566666666667,3.3333333333333335,3.0,35.0,1.3333333333333333,0.0,50.666666666666664,14.666666666666666,57.333333333333336,3.0866666666666664,1.5599999999999998,4.68,3,2.922938080498935,1.187926535914613,7.528309709523469,2.176642152950178,3.4556320630604347,1.0170166293272858,3,0.95,3.44681,1.15,CL,0,0,2,4,1764,0,0.9467872536013696,0.4064152244072985,0.5263157894736842,18.72,35.0,0.0,0.0,6.25,0,75421,"2021,2022,2023"
홍건희,2024,32,두산,6.13,62.333333333333336,66.0,3.0,6.666666666666667,14.333333333333334,10.333333333333334,0.0,68.0,24.0,63.333333333333336,1.2133333333333332,1.4466666666666665,4.34,3,3.0909064816666665,1.324141818181818,9.273904242424242,3.2727444949494946,2.8403695959595963,1.0644542424242422,3,0.98,3.06486,1.48,CL,0,0,0,0,1024,3,0.9595959595959597,0.4283991851697239,0.31034482758620685,0.0,14.333333333333334,0.0,0.0,6.25,0,61643,"2021,2022,2023"
김강률,2025,37,LG,3.5,37.0,30.778000000000002,2.0,2.0,3.6666666666666665,6.666666666666667,0.0,23.0,13.666666666666666,30.666666666666668,0.722,0.36000000000000004,1.08,3,3.7039751921285764,1.441299413000628,6.723174670218988,3.997289297550198,1.7028527952866765,0.8367223016440315,3,0.92,3.0,1.48,RP,0,0,0,0,1369,0,0.9963826975978513,0.38912231811475806,0.5,0.0,0.0,0.0,0.0,6.13,1,77263,"2022,2023,2024"
노경은,2025,41,SSG,8.33,64.66666666666667,82.11133333333333,9.666666666666666,5.0,1.0,25.0,0.6666666666666666,63.666666666666664,30.333333333333332,72.66666666666667,3.283,1.9833333333333334,5.95,3,3.1786175336331977,1.2512988868771668,6.978727865418496,3.323328001818669,2.136834013981018,1.365524085185155,3,2.24,2.90438,1.23,SU,0,0,1,2,1681,0,0.8849773072332687,0.393661355490894,0.6590909090909091,11.9,0.0,25.0,0.0,6.13,3,73211,"2022,2023,2024"
우규민,2025,40,KT,3.5,53.666666666666664,44.44433333333333,3.6666666666666665,1.6666666666666667,0.6666666666666666,11.0,0.0,32.666666666666664,4.333333333333333,52.333333333333336,0.673,0.8666666666666667,2.6,3,3.5100024692311735,1.2770003675009187,6.616196290490726,0.8805011512528781,9.965901164752912,0.8366621841554605,3,1.34,2.49231,1.13,RP,0,0,2,4,1600,0,1.1775029437573594,0.36381751257873934,0.6875,10.4,0.0,0.0,0.0,6.13,1,73117,"2022,2023,2024"
임기영,2025,32,KIA,5.0,42.333333333333336,85.66666666666667,4.666666666666667,6.333333333333333,1.3333333333333333,6.0,3.3333333333333335,58.333333333333336,24.0,84.66666666666667,0.48833333333333334,0.85,2.55,3,4.202338277198444,1.2685478210116732,6.130702178988327,2.525254007782101,2.481296809338521,3.131118365758755,3,-0.16,6.30657,1.71,RP,0,0,2,4,1024,3,0.9883268482490273,0.30186713618337524,0.42424242424242425,10.2,0.0,0.0,0.0,6.13,1,62754,"2022,2023,2024"
장현식,2025,30,LG,13.0,61.666666666666664,59.44433333333333,3.0,3.0,1.3333333333333333,13.333333333333334,0.0,53.0,28.666666666666668,62.333333333333336,0.9406666666666667,0.6666666666666666,2.0,3,3.7345775927057807,1.5334394082979594,8.021979555101971,4.339869681999406,1.865924590513253,0.9654485260720114,3,0.94,3.94248,1.45,RP,0,0,1,2,900,5,1.0486000908412914,0.41060585038934755,0.5,4.0,0.0,0.0,0.0,6.13,1,63950,"2022,2023,2024"
최원태,2025,28,삼성,17.5,25.333333333333332,126.33366666666666,8.333333333333334,6.333333333333333,0.0,0.0,9.666666666666666,94.66666666666667,47.666666666666664,122.66666666666667,2.0993333333333335,1.8966666666666665,5.6899999999999995,3,4.131923852654743,1.34724713127406,6.745373521441897,3.395576159429659,2.0371942290389735,5.080006810008417,3,2.06,4.26316,1.44,SP,0,0,1,2,784,7,0.9709736913622921,0.32605807350695964,0.5681818181818181,11.379999999999999,0.0,0.0,126.33366666666666,6.13,2,65320,"2022,2023,2024"
김원중,2025,32,롯데,13.5,54.0,56.666666666666664,3.3333333333333335,5.0,24.0,0.6666666666666666,0.0,70.0,24.0,50.0,1.704,1.7033333333333334,5.11,3,3.4411750312941174,1.3035093529411763,11.116337117647058,3.812312,2.992806058823529,1.052923294117647,3,2.1,3.55263,1.42,CL,0,0,1,2,1024,3,0.8823529411764707,0.3787977481781761,0.39999999999999997,10.22,24.0,0.0,0.0,6.13,0,62528,"2022,2023,2024"
엄상백,2025,29,한화,19.5,27.333333333333332,136.22233333333335,10.333333333333334,6.0,0.0,0.0,9.333333333333334,129.0,39.0,129.66666666666666,2.1566666666666667,2.6733333333333333,8.02,3,3.8760230454379725,1.2381076769105408,8.518889780677178,2.5763044238952495,3.3288503353586165,5.056900224388071,3,2.34,4.88298,1.31,SP,0,0,0,0,841,6,0.9518752431686432,0.3194273259979135,0.6326530612244897,0.0,0.0,0.0,136.22233333333335,6.13,2,65056,"2022,2023,2024"
구승민,2025,35,롯데,5.25,68.66666666666667,61.111333333333334,3.0,4.333333333333333,1.0,20.333333333333332,0.0,68.33333333333333,33.0,59.666666666666664,0.572,0.9900000000000001,2.97,3,3.8781867089028768,1.520018599932364,10.065725233726424,4.859199712001048,2.0925270271744467,0.8919382547699826,3,0.35,4.83815,1.79,RP,0,0,0,0,1225,0,0.9763600859633237,0.3919405418111938,0.4090909090909091,0.0,0.0,0.0,0.0,6.13,1,63543,"2022,2023,2024"
이준영,2026,31,KIA,4.0,59.0,34.22233333333333,2.6666666666666665,0.3333333333333333,0.0,8.666666666666666,0.0,32.333333333333336,17.0,33.0,0.36233333333333334,0.35333333333333333,1.06,3,3.9448015685663362,1.4607792182492914,8.504771153340412,4.470200259090068,2.1109713929500225,0.5829316333388528,3,0.15,4.764705882352941,1.38,RP,0,0,0,0,961,4,0.9642825834981056,0.37030486650819905,0.8888888888888888,0.0,0.0,0.0,0.0,6.13,1,65665,"2023,2024,2025"
김광현,2026,38,SSG,18.0,29.666666666666668,158.22199999999998,10.333333333333334,9.333333333333334,0.0,0.0,12.666666666666666,137.0,64.33333333333333,163.0,1.8556666666666668,2.0500000000000003,6.15,3,4.455757182945482,1.437310424593293,7.7941999216291045,3.6609617499462783,2.1617910909987232,5.3411164566242375,3,1.5,5.0,1.49,SP,1,1,4,16,1444,0,1.0301980761208935,0.3225737771561326,0.5254237288135594,98.4,0.0,0.0,158.22199999999998,6.13,2,77829,"2023,2024,2025"
양현종,2026,38,KIA,15.0,29.333333333333332,165.111,9.0,8.333333333333334,0.0,0.0,13.333333333333334,123.66666666666667,48.666666666666664,175.33333333333334,1.2826666666666666,2.3333333333333335,7.0,3,4.215345483220379,1.355201955048422,6.741662154550576,2.6518442138924723,2.635800461507713,5.654624997728801,3,0.74,5.058823529411765,1.49,SP,1,1,5,18,1444,0,1.061911885539627,0.32149249935573354,0.5192307692307692,126.0,0.0,0.0,165.111,6.13,2,77637,"2023,2024,2025"
최원준,2026,29,KT,12.0,32.333333333333336,108.22233333333334,4.333333333333333,8.0,0.0,3.0,5.0,68.33333333333333,33.333333333333336,116.33333333333333,0.4023333333333334,0.21333333333333335,0.64,3,5.37782466536482,1.3872176414603268,5.679158368420565,2.7725046894202365,2.0977930618141047,3.6764378486264384,3,0.13,4.710280373831776,1.34,SP,0,0,0,0,841,6,1.0749475616554807,0.2579514446416451,0.35135135135135137,0.0,0.0,0.0,108.22233333333334,6.13,2,67263,"2023,2024,2025"
이영하,2026,29,두산,13.0,56.0,57.111,4.666666666666667,3.6666666666666665,0.6666666666666666,7.666666666666667,0.0,53.0,32.0,55.0,-0.20866666666666667,0.3866666666666667,1.1600000000000001,3,4.359921913408392,1.5231517571045858,8.353820104708376,5.042296755441159,1.650545779271944,1.0282991075858126,3,0.68,4.05,1.53,RP,0,0,2,4,841,6,0.9630368930678854,0.34935299011212195,0.5599999999999999,4.640000000000001,0.0,0.0,0.0,6.13,1,66291,"2023,2024,2025"
