player_name,fa_year,age_at_fa,team,annual_avg_salary,games_3yr_avg,ab_3yr_avg,hr_3yr_avg,rbi_3yr_avg,run_3yr_avg,hit_3yr_avg,double_3yr_avg,triple_3yr_avg,bb_3yr_avg,hp_3yr_avg,kk_3yr_avg,sb_3yr_avg,wpa_3yr_avg,war_3yr_avg,war_3yr_sum,war_seasons_valid,avg_3yr_avg,obp_3yr_avg,slg_3yr_avg,ops_3yr_avg,isop_3yr_avg,babip_3yr_avg,woba_3yr_avg,wrc_plus_3yr_avg,active_seasons,war_last_year,ops_last_year,wrc_plus_last_year,position,mvp_count,golden_glove_count,national_team,star_score,age_squared,prime_years_left,market_level,star_x_war,star_x_ops,war_sum_sq,position_enc,player_id,seasons_used
조동화,2015,34,SK,5.5,84.66666666666667,279.0,0.6666666666666666,24.666666666666668,44.0,72.0,8.333333333333334,2.6666666666666665,32.0,4.0,54.666666666666664,21.333333333333332,-0.19433333333333333,0.0,0.0,0,0.25806451612903225,0.3395244922341697,0.31408243727598567,0.6536069295101554,0.05594384707287929,0.315689366786141,0.29457467144563915,0.0,3,0.0,0.655,0.0,OF,0,0,0,0,1156,1,8.0,0.0,0.0,0.0,5,71848,"2012,2013,2014"
박경수,2015,31,KT,4.55,92.66666666666667,236.66666666666666,3.0,22.0,34.0,56.333333333333336,12.666666666666666,0.6666666666666666,34.333333333333336,9.333333333333334,50.333333333333336,9.0,-0.21666666666666667,0.0,0.0,0,0.23802816901408444,0.3533591549295775,0.3353830985915493,0.6887422535211267,0.0974183098591549,0.2871366197183099,0.3155056338028169,0.0,3,0.0,0.659,0.0,2B,0,0,0,0,961,4,8.0,0.0,0.0,0.0,2,73113,"2010,2011,2014"
박기혁,2015,34,KT,2.85,33.666666666666664,88.0,0.0,8.0,7.333333333333333,17.666666666666668,2.3333333333333335,0.0,8.333333333333334,0.3333333333333333,13.333333333333334,1.0,-0.14466666666666667,0.0,0.0,0,0.20075757575757575,0.2698068181818182,0.22701136363636362,0.4968181818181818,0.02604545454545449,0.23514772727272729,0.23613636363636364,0.0,3,0.0,0.491,0.0,SS,0,1,0,3,1156,1,8.0,0.0,1.4904545454545455,0.0,4,70553,"2010,2013,2014"
김경언,2015,33,한화,2.83,89.66666666666667,260.6666666666667,4.333333333333333,35.666666666666664,30.666666666666668,72.66666666666667,14.666666666666666,2.0,35.0,2.6666666666666665,56.0,3.3333333333333335,0.7666666666666666,0.0,0.0,0,0.278772378516624,0.36597186700767265,0.40008695652173915,0.7660588235294118,0.12120204603580557,0.3353606138107417,0.35123273657289,0.0,3,0.0,0.864,0.0,OF,0,0,0,0,1089,2,8.0,0.0,0.0,0.0,5,71610,"2012,2013,2014"
나주환,2015,31,SK,2.75,80.66666666666667,250.0,4.666666666666667,31.0,37.666666666666664,66.33333333333333,12.666666666666666,0.6666666666666666,20.333333333333332,2.6666666666666665,61.0,8.0,0.08566666666666667,0.0,0.0,0,0.2653333333333333,0.3244866666666667,0.37742666666666674,0.7019133333333333,0.11175733333333328,0.33096133333333333,0.30717199999999995,0.0,3,0.0,0.714,0.0,SS,0,0,0,0,961,4,8.0,0.0,0.0,0.0,4,73209,"2010,2013,2014"
이성열,2015,31,한화,2.5,97.33333333333333,268.3333333333333,13.0,40.666666666666664,37.333333333333336,63.666666666666664,11.333333333333334,0.0,24.0,10.666666666666666,93.33333333333333,2.6666666666666665,-0.19699999999999998,0.0,0.0,0,0.23726708074534159,0.32291677018633536,0.4246248447204969,0.7475416149068324,0.1872248447204969,0.31079378881987574,0.3329913043478261,0.0,3,0.0,0.802,0.0,OF,0,0,0,0,961,4,8.0,0.0,0.0,0.0,5,73136,"2012,2013,2014"
차일목,2015,34,KIA,2.25,93.33333333333333,202.33333333333334,0.6666666666666666,19.333333333333332,21.666666666666668,47.666666666666664,6.666666666666667,0.3333333333333333,28.666666666666668,2.6666666666666665,33.0,0.6666666666666666,-0.7176666666666667,0.0,0.0,0,0.2355848434925865,0.333996705107084,0.2816392092257002,0.6156359143327842,0.04605930807248761,0.2743014827018122,0.2884514003294893,0.0,3,0.0,0.54,0.0,C,0,0,0,0,1156,1,8.0,0.0,0.0,0.0,0,73602,"2012,2013,2014"
박석민,2016,31,NC,24.0,120.66666666666667,400.0,23.666666666666668,88.0,76.0,127.33333333333333,23.333333333333332,0.0,63.666666666666664,17.333333333333332,77.33333333333333,2.3333333333333335,2.2253333333333334,0.0,0.0,0,0.31833333333333336,0.42919333333333326,0.5539533333333333,0.9831466666666667,0.23572333333333334,0.34176999999999996,0.4311933333333334,0.0,3,0.0,0.992,0.0,3B,0,2,0,6,961,4,7.0,0.0,5.89888,0.0,3,74465,"2013,2014,2015"
김태균,2016,34,한화,21.0,117.33333333333333,391.6666666666667,16.333333333333332,80.0,56.0,131.0,27.333333333333332,0.0,80.33333333333333,10.333333333333334,73.33333333333333,1.0,3.3523333333333336,0.0,0.0,0,0.334468085106383,0.4553378723404255,0.5291872340425532,0.9845251063829787,0.19470808510638288,0.37364936170212765,0.43100510638297873,0.0,3,0.0,0.996,0.0,1B,0,2,1,8,1156,1,7.0,0.0,7.87620085106383,0.0,1,71752,"2013,2014,2015"
이승엽,2016,40,삼성,18.0,120.0,473.0,23.666666666666668,86.66666666666667,77.33333333333333,141.33333333333334,27.333333333333332,0.3333333333333333,36.666666666666664,2.6666666666666665,80.66666666666667,3.3333333333333335,1.6166666666666665,0.0,0.0,0,0.2988019732205779,0.34887385482734323,0.5080810429880198,0.8569548978153629,0.20930232558139536,0.3144186046511628,0.37074418604651166,0.0,3,0.0,0.949,0.0,1B,0,8,1,26,1600,0,7.0,0.0,22.280827343199437,0.0,1,95436,"2013,2014,2015"
