collect_year,player_id,player_name,team,position,is_qualified,innings,games,era,whip,win,lose,save,hold,qs,so,bb,hbp,hit,hr,r,er,k9,bb9,k_bb,pa_k_rate,pa_bb_rate,wpa,war,ip_per_game,pitcher_role,season_completion
2020,65933,구창모,NC,투수,False,93.333,15,1.73571,0.81,9,0,0,1,12,102,18,0,58,7,20,18,9.84,1.74,5.67,29.3,5.2,3.731,4.42,6.222,SP,1.0
2022,65933,구창모,NC,투수,False,111.667,19,2.09552,1.08,11,5,0,0,11,108,29,4,92,7,32,26,8.7,2.34,3.72,23.9,6.4,3.467,3.61,5.877,SP,1.0
2023,65933,구창모,NC,투수,False,51.667,11,2.96129,1.05,1,3,0,0,3,56,16,0,38,4,19,17,9.75,2.79,3.5,27.3,7.8,1.617,1.38,4.697,SP,1.0
2025,65933,구창모,NC,투수,False,14.333,4,2.511627906976744,1.19,1,0,0,0,0,18,3,0,14,1,4,4,11.3,1.88,6.0,30.5,5.1,0.347,0.56,3.583,SP,1.0
2026,65933,구창모,NC,투수,True,114.333,20,3.935860058309038,1.26,9,4,0,0,11,99,33,4,111,14,57,50,7.79,2.6,3.0,20.5,6.8,1.975,1.86,5.717,SP,0.757
2025,55764,권민규,한화,투수,False,5.333,5,8.4375,2.25,0,0,0,0,0,4,7,0,5,1,5,5,6.75,11.81,0.57,14.3,25.0,0.116,-0.11,1.067,RP,1.0
2026,55764,권민규,한화,투수,False,11.333,11,3.9705882352941178,1.76,1,0,0,0,0,11,6,0,14,1,5,5,8.74,4.76,1.83,21.2,11.5,-0.289,0.15,1.03,RP,0.757
2010,99445,권오준,삼성,,False,32.667,42,3.58163,1.35,1,0,2,3,0,32,5,4,39,1,15,13,8.82,1.38,6.4,22.7,3.5,0.0,,0.778,RP,1.0
2011,99445,권오준,삼성,,False,48.333,53,2.7931,1.2,1,1,0,11,0,52,10,2,48,2,17,15,9.68,1.86,5.2,25.6,4.9,0.0,,0.912,RP,1.0
2012,99445,권오준,삼성,,False,42.667,46,2.95313,1.05,1,3,0,10,0,48,13,0,32,2,15,14,10.13,2.74,3.69,27.6,7.5,0.0,,0.928,RP,1.0
