ranking,playerId,playerName,playerImageUrl,weight,height,backNumber,isRetire,isPlayer,osId,profile,enable,teamId,teamName,teamShortName,teamImageUrl,seasonId,year,upperCategoryId,categoryId,league,division,pitcherEra,pitcherWin,pitcherLose,pitcherSave,pitcherHold,pitcherGameCount,pitcherInning,pitcherKk,pitcherHit,pitcherHr,pitcherR,pitcherEr,pitcherBb,pitcherHp,pitcherWra,pitcherQs,pitcherWhip,pitcherInningKk,pitcherInningBb,pitcherKkBbRate,pitcherPaKkRate,pitcherPaBbRate,pitcherWpa,pitcherWar,pitcherStart,pitcherPitchCount,isQualified,isKoreanPlayer,collect_year,sort_source
,55040,김동현,https://sports-phinf.pstatic.net/player/kbo/default/55040.png,97,193,40,N,Y,35242118,"{""name"":""김동현"",""image"":""https://ssl.pstatic.net/sstatic/people/profileImg/t/5e3ec768-703b-4192-a346-faedf8adb14b.png"",""teamName"":""kt wiz"",""teamCode"":""KT"",""position"":""투수"",""backNumber"":""40"",""retire"":null,""job"":[""야구선수""],""viewName"":"""",""keyword"":""김동현"",""os"":35242118}",Y,KT,KT,KT,https://sports-phinf.pstatic.net/team/kbo/default/KT.png?type=f92_88,2025,2025,kbaseball,kbo,,,13.5,0,0,0,0,3,3 1/3,4,7,2,5,5,3,0,0.0,0,3.0,10.8,8.1,1.33,21.1,15.8,0.005,-0.14,,,False,False,2025,pitcherWar
,55121,박시원,https://sports-phinf.pstatic.net/player/kbo/default/55121.png,93,193,58,N,Y,35242427,"{""name"":""박시원"",""image"":""https://ssl.pstatic.net/sstatic/people/profileImg/t/7fabb744-3700-483d-a176-74823f8fd289.png"",""teamName"":""LG 트윈스"",""teamCode"":""LG"",""position"":""투수"",""backNumber"":""58"",""retire"":null,""job"":[""야구선수""],""viewName"":"""",""keyword"":""박시원"",""os"":35242427}",Y,LG,LG,LG,https://sports-phinf.pstatic.net/team/kbo/default/LG.png?type=f92_88,2025,2025,kbaseball,kbo,,,13.5,0,0,0,0,2,1 1/3,0,0,0,2,2,5,0,0.0,0,3.75,0.0,33.75,0.0,0.0,55.6,0.002,-0.06,,,False,False,2025,pitcherWar
,62754,임기영,https://sports-phinf.pstatic.net/player/kbo/default/62754.png,86,184,38,N,Y,247053,"{""name"":""임기영"",""image"":""https://ssl.pstatic.net/sstatic/people/profileImg/t/169c02aa-7d90-4368-99ed-1ca1530bd56b.png"",""teamName"":""삼성 라이온즈"",""teamCode"":""SS"",""position"":""투수"",""backNumber"":""38"",""retire"":null,""job"":[""야구선수""],""viewName"":"""",""keyword"":""임기영"",""os"":247053}",Y,HT,KIA,KIA,https://sports-phinf.pstatic.net/team/kbo/default/HT.png?type=f92_88,2025,2025,kbaseball,kbo,,,13.0,1,1,0,0,10,9,5,23,2,13,13,4,0,0.5,0,3.0,5.0,4.0,1.25,9.6,7.7,-0.45,-0.42,,,False,False,2025,pitcherWar
,64596,김유영,https://sports-phinf.pstatic.net/player/kbo/default/64596.png,83,180,0,N,Y,621011,"{""name"":""김유영"",""image"":""https://ssl.pstatic.net/sstatic/people/profileImg/t/513a4065-ac73-4dca-a9ba-7d0fd62d36db.png"",""teamName"":""LG 트윈스"",""teamCode"":""LG"",""position"":""투수"",""backNumber"":""0"",""retire"":null,""job"":[""야구선수""],""viewName"":"""",""keyword"":""김유영"",""os"":621011}",Y,LG,LG,LG,https://sports-phinf.pstatic.net/team/kbo/default/LG.png?type=f92_88,2025,2025,kbaseball,kbo,,,12.461538461538462,0,0,0,0,6,4 1/3,5,8,0,6,6,4,1,0.0,0,2.77,10.38,8.31,1.25,19.2,15.4,-0.08,-0.17,,,False,False,2025,pitcherWar
,54645,김민주,https://sports-phinf.pstatic.net/player/kbo/default/54645.png,85,182,49,N,Y,33719204,"{""name"":""김민주"",""image"":""https://ssl.pstatic.net/sstatic/people/profileImg/t/bce8c152-5534-472f-897c-4d9a71afcd11.png"",""teamName"":null,""teamCode"":null,""position"":null,""backNumber"":null,""retire"":""Y"",""job"":[""야구선수""],""viewName"":"""",""keyword"":""김민주"",""os"":33719204}",Y,HT,KIA,KIA,https://sports-phinf.pstatic.net/team/kbo/default/HT.png?type=f92_88,2025,2025,kbaseball,kbo,,,12.0,0,0,0,0,3,3,2,4,0,4,4,2,2,0.0,0,2.0,6.0,6.0,1.0,11.8,11.8,-0.025,-0.15,,,False,False,2025,pitcherWar
,67956,김태현,https://sports-phinf.pstatic.net/player/kbo/default/67956.png,95,188,109,N,Y,3999800,"{""name"":""김태현"",""image"":""https://ssl.pstatic.net/sstatic/people/profileImg/t/8c40ea81-f1c5-4d9d-a76b-c33b6fa38f83.png"",""teamName"":""NC 다이노스"",""teamCode"":""NC"",""position"":""투수"",""backNumber"":""109"",""retire"":null,""job"":[""야구선수""],""viewName"":"""",""keyword"":""김태현"",""os"":3999800}",Y,NC,NC,NC,https://sports-phinf.pstatic.net/team/kbo/default/NC.png?type=f92_88,2025,2025,kbaseball,kbo,,,12.0,0,0,0,1,5,3,2,5,2,4,4,3,2,0.0,0,2.67,6.0,9.0,0.67,11.8,17.6,-0.072,-0.23,,,False,False,2025,pitcherWar
,62951,이형범,https://sports-phinf.pstatic.net/player/kbo/default/62951.png,80,181,16,N,Y,248895,"{""name"":""이형범"",""image"":""https://ssl.pstatic.net/sstatic/people/profileImg/t/19d091c0-d5dc-49a0-ac16-ffa83305e8c0.png"",""teamName"":""한화 이글스"",""teamCode"":""HH"",""position"":""투수"",""backNumber"":""16"",""retire"":null,""job"":[""야구선수""],""viewName"":"""",""keyword"":""이형범"",""os"":248895}",Y,HT,KIA,KIA,https://sports-phinf.pstatic.net/team/kbo/default/HT.png?type=f92_88,2025,2025,kbaseball,kbo,,,11.7,0,0,0,0,12,10,6,21,0,16,13,5,0,0.0,0,2.6,5.4,4.5,1.2,10.7,8.9,-0.233,-0.38,,,False,False,2025,pitcherWar
,55300,손힘찬,https://sports-phinf.pstatic.net/player/kbo/default/55300.png,88,191,100,N,Y,36612108,"{""name"":""손힘찬"",""image"":""https://ssl.pstatic.net/sstatic/people/profileImg/t/339d4b20-dfc2-48b2-b8f1-8fbb11a97961.png"",""teamName"":""키움 히어로즈"",""teamCode"":""WO"",""position"":""투수"",""backNumber"":""100"",""retire"":null,""job"":[""야구선수""],""viewName"":"""",""keyword"":""손힘찬"",""os"":36612108}",Y,WO,키움,키움,https://sports-phinf.pstatic.net/team/kbo/default/WO.png?type=f92_88,2025,2025,kbaseball,kbo,,,11.25,0,0,0,0,4,4,4,5,0,5,5,4,1,0.0,0,2.25,9.0,9.0,1.0,18.2,18.2,-0.077,-0.11,,,False,False,2025,pitcherWar
,60559,박시영,https://sports-phinf.pstatic.net/player/kbo/default/60559.png,92,181,0,N,Y,165255,"{""name"":""박시영"",""image"":""https://ssl.pstatic.net/sstatic/people/profileImg/t/3db185f8-1861-4cf7-ac39-552e8928c75b.png"",""teamName"":null,""teamCode"":null,""position"":null,""backNumber"":null,""retire"":""Y"",""job"":[""야구선수""],""viewName"":"""",""keyword"":""박시영"",""os"":165255}",Y,LT,롯데,롯데,https://sports-phinf.pstatic.net/team/kbo/default/LT.png?type=f92_88,2025,2025,kbaseball,kbo,,,11.045454545454545,1,0,0,0,11,7 1/3,10,9,0,9,9,9,2,1.0,0,2.45,12.27,11.05,1.11,23.8,21.4,-0.249,-0.33,,,False,False,2025,pitcherWar
,50992,김태경,https://sports-phinf.pstatic.net/player/kbo/default/50992.png,95,188,60,N,Y,13910160,"{""name"":""김태경"",""image"":""https://ssl.pstatic.net/sstatic/people/profileImg/t/c3ec3b10-320b-4e47-8c09-e57d49f5044b.png"",""teamName"":""NC 다이노스"",""teamCode"":""NC"",""position"":""투수"",""backNumber"":""60"",""retire"":null,""job"":[""야구선수""],""viewName"":"""",""keyword"":""김태경"",""os"":13910160}",Y,NC,NC,NC,https://sports-phinf.pstatic.net/team/kbo/default/NC.png?type=f92_88,2025,2025,kbaseball,kbo,,,10.636363636363637,0,0,0,1,6,11,10,18,4,20,13,9,2,0.0,0,2.45,8.18,7.36,1.11,16.1,14.5,-0.465,-0.82,,,False,False,2025,pitcherWar
