player_name,player_id,fa_year,age_at_fa,position,contract_years,total_contract_amount,annual_avg_salary,team,birth_year,birth_year_source
최재훈,78288,2022,33,C,5,54.0,10.8,한화,1989,wikidata
백정현,77446,2022,35,P,4,38.0,9.5,삼성,1987,wikidata
이명기,76849,2023,35,OF,1,1.0,1.0,한화,1988,원본
한현희,62363,2023,30,P,4,40.0,10.0,롯데,1993,wikidata
신본기,62556,2023,34,IF,2,3.0,1.5,KT,1989,원본
이재학,60263,2023,33,P,3,9.0,3.0,NC,1990,원본
김진성,75867,2023,38,P,2,7.0,3.5,LG,1985,wikidata
오선진,78756,2023,35,IF,2,4.0,2.0,한화,1988,원본
오태곤,60558,2023,32,OF,4,19.0,4.75,SSG,1991,wikidata
김상수,79402,2023,34,SS,4,29.0,7.25,KT,1989,원본
박세혁,62244,2023,33,C,4,46.0,11.5,NC,1990,wikidata
박민우,62907,2023,30,2B,8,140.0,17.5,NC,1993,wikidata
노진혁,62931,2023,34,SS,4,50.0,12.5,롯데,1989,wikidata
양의지,76232,2023,36,C,6,152.0,25.33,두산,1987,원본
채은성,79192,2023,33,1B,6,90.0,15.0,한화,1990,wikidata
장시환,77318,2023,36,P,3,9.3,3.1,한화,1987,wikidata
박동원,79365,2023,33,C,4,65.0,16.25,LG,1990,wikidata
유강남,61102,2023,31,C,4,80.0,20.0,롯데,1992,wikidata
원종현,76118,2023,36,P,4,25.0,6.25,키움,1987,wikidata
이태양,60768,2023,30,P,4,25.0,6.25,한화,1993,원본
김민식,62864,2024,35,C,2,5.0,2.5,SSG,1989,wikidata
강한울,64610,2024,33,IF,2,3.0,1.5,삼성,1991,wikidata
김대우,61365,2024,36,P,2,4.0,2.0,삼성,1988,wikidata
임창민,78352,2024,39,P,2,8.0,4.0,삼성,1985,원본
장민재,79764,2024,34,P,3,8.0,2.67,한화,1990,wikidata
주권,65060,2024,29,P,4,16.0,4.0,KT,1995,wikidata
고종욱,61353,2024,35,OF,2,5.0,2.5,KIA,1989,원본
양석환,64153,2024,33,1B,6,78.0,13.0,두산,1991,wikidata
함덕주,63248,2024,29,P,4,38.0,9.5,LG,1995,wikidata
임찬규,61101,2024,32,P,4,50.0,12.5,LG,1992,wikidata
오승환,75421,2024,42,P,2,22.0,11.0,삼성,1982,원본
김선빈,78603,2024,35,2B,3,30.0,10.0,KIA,1989,원본
오지환,79109,2024,34,SS,6,124.0,20.67,LG,1990,원본
홍건희,61643,2024,32,P,4,24.5,6.13,두산,1992,wikidata
김헌곤,61404,2025,37,OF,2,6.0,3.0,삼성,1988,wikidata
김성욱,62934,2025,32,OF,2,3.0,1.5,NC,1993,wikidata
김강률,77263,2025,37,P,4,14.0,3.5,LG,1988,wikidata
서건창,78168,2025,36,2B,2,5.0,2.5,KIA,1989,원본
노경은,73211,2025,41,P,3,25.0,8.33,SSG,1984,wikidata
류지혁,62234,2025,31,IF,4,26.0,6.5,삼성,1994,원본
우규민,73117,2025,40,P,2,7.0,3.5,KT,1985,wikidata
임기영,62754,2025,32,P,3,15.0,5.0,KIA,1993,wikidata
장현식,63950,2025,30,P,4,52.0,13.0,LG,1995,wikidata
최원태,65320,2025,28,P,4,70.0,17.5,삼성,1997,원본
김원중,62528,2025,32,P,4,54.0,13.5,롯데,1993,원본
심우준,64006,2025,30,SS,4,50.0,12.5,한화,1995,wikidata
엄상백,65056,2025,29,P,4,78.0,19.5,한화,1996,wikidata
허경민,79240,2025,35,3B,4,40.0,10.0,KT,1990,wikidata
최정,75847,2025,38,3B,4,110.0,27.5,SSG,1987,원본
구승민,63543,2025,35,P,4,21.0,5.25,롯데,1990,wikidata
한승택,63722,2026,32,C,4,10.0,2.5,KT,1994,wikidata
이준영,65665,2026,31,P,3,12.0,4.0,KIA,1995,원본
강민호,74540,2026,41,C,2,20.0,10.0,삼성,1985,원본
김광현,77829,2026,38,P,2,36.0,18.0,SSG,1988,원본
양현종,77637,2026,38,P,3,45.0,15.0,KIA,1988,원본
강백호,68050,2026,27,1B,4,100.0,25.0,한화,1999,wikidata
최원준,67263,2026,29,P,4,48.0,12.0,KT,1997,원본
김현수,76290,2026,38,OF,3,50.0,16.67,KT,1988,원본
박찬호,64646,2026,31,SS,4,80.0,20.0,두산,1995,wikidata
조수행,66209,2026,33,OF,4,16.0,4.0,두산,1993,원본
이영하,66291,2026,29,P,4,52.0,13.0,두산,1997,wikidata
최형우,72443,2026,43,OF,2,26.0,13.0,KIA,1983,원본
