player_name,fa_year,age_at_fa,position,games_3yr_avg,ab_3yr_avg,avg_3yr_avg,obp_3yr_avg,slg_3yr_avg,ops_3yr_avg,isop_3yr_avg,babip_3yr_avg,woba_3yr_avg,wrc_plus_3yr_avg,hr_3yr_avg,rbi_3yr_avg,run_3yr_avg,hit_3yr_avg,double_3yr_avg,triple_3yr_avg,bb_3yr_avg,hp_3yr_avg,kk_3yr_avg,sb_3yr_avg,cs_3yr_avg,gd_3yr_avg,wpa_3yr_avg,war_3yr_avg,war_3yr_sum,war_last_year,ops_last_year,wrc_plus_last_year,contract_years,total_contract_amount,annual_avg_salary,team
이재원,2019,31,C,130.0,409.0,0.30938802106685315,0.3845,0.475,0.8595,0.16549999999999998,0.3365,0.379,64.4,16.0,60.5,56.0,126.5,19.5,0.0,43.0,10.5,70.5,0.5,,,0.674,1.515,3.03,3.03,0.919,128.8,4,69.0,17.25,SK
양의지,2019,32,C,117.33333333333333,372.6666666666667,0.31785504948377596,0.4013333333333333,0.5316666666666666,0.9329999999999999,0.21366666666666656,0.311,0.4066666666666667,97.66666666666667,19.666666666666668,70.0,65.66666666666667,119.66666666666667,20.333333333333332,0.3333333333333333,42.666666666666664,12.333333333333334,40.666666666666664,3.0,,,1.243,3.0199999999999996,9.059999999999999,6.01,1.012,165.0,4,125.0,31.25,NC
안치홍,2020,30,2B,122.33333333333333,447.6666666666667,0.32441471871449185,0.38166666666666665,0.496,0.8776666666666667,0.1716666666666666,0.3373333333333333,0.38599999999999995,127.90000000000002,16.333333333333332,86.66666666666667,76.0,145.66666666666666,28.333333333333332,1.3333333333333333,39.666666666666664,5.0,54.666666666666664,5.333333333333333,,,1.7163333333333337,4.373333333333333,13.12,2.81,0.792,123.6,4,56.0,14.0,롯데
이성열,2020,36,OF,113.66666666666667,393.0,0.2860089551035315,0.35133333333333333,0.5376666666666666,0.8889999999999999,0.25166666666666665,0.33499999999999996,0.38666666666666666,119.03333333333332,25.333333333333332,84.0,59.0,111.66666666666667,19.333333333333332,1.0,34.0,7.666666666666667,112.33333333333333,6.666666666666667,,,1.2223333333333333,3.0033333333333334,9.01,3.01,0.807,115.3,2,14.0,7.0,한화
김태균,2020,38,1B,98.0,347.6666666666667,0.31989938496575226,0.38433333333333336,0.472,0.8563333333333333,0.15199999999999994,0.36800000000000005,0.37766666666666665,111.93333333333334,11.0,57.333333333333336,41.0,111.0,18.0,0.0,36.666666666666664,4.333333333333333,68.66666666666667,1.0,,,0.43466666666666676,2.3266666666666667,6.98,3.02,0.777,115.7,1,10.0,10.0,한화
전준우,2020,33,OF,131.66666666666666,518.6666666666666,0.32117439025893907,0.37633333333333335,0.5253333333333333,0.9016666666666667,0.20399999999999996,0.33666666666666667,0.39366666666666666,117.83333333333333,24.333333333333332,80.66666666666667,93.0,166.66666666666666,31.0,1.3333333333333333,41.333333333333336,7.0,74.33333333333333,5.666666666666667,,,1.0503333333333333,4.456666666666667,13.370000000000001,4.7,0.84,118.6,4,34.0,8.5,롯데
김선빈,2020,31,2B,128.33333333333334,431.3333333333333,0.31881246416773773,0.38466666666666666,0.40700000000000003,0.7916666666666666,0.08799999999999997,0.3376666666666667,0.3606666666666667,111.43333333333334,4.0,51.0,70.66666666666667,138.66666666666666,24.333333333333332,1.0,43.333333333333336,5.0,36.0,4.333333333333333,,,0.2173333333333333,2.9633333333333334,8.89,2.69,0.731,116.0,4,40.0,10.0,KIA
유한준,2020,39,OF,131.0,458.0,0.3205894312393799,0.38633333333333336,0.47066666666666673,0.8570000000000001,0.15,0.338,0.38166666666666665,112.06666666666668,15.666666666666666,79.0,57.333333333333336,146.66666666666666,19.666666666666668,0.6666666666666666,48.0,2.6666666666666665,57.666666666666664,1.3333333333333333,,,1.5296666666666667,3.283333333333333,9.85,4.43,0.826,125.4,2,20.0,10.0,KT
김강민,2020,38,OF,98.33333333333333,280.0,0.26219791849766544,0.33,0.41500000000000004,0.745,0.15266666666666662,0.3173333333333334,0.33066666666666666,87.03333333333335,9.0,38.0,41.666666666666664,74.66666666666667,11.0,1.0,22.666666666666668,4.666666666666667,70.0,11.666666666666666,,,-0.8086666666666668,1.0733333333333333,3.2199999999999998,1.73,0.694,79.2,2,10.0,5.0,SK
오지환,2020,30,SS,128.33333333333334,446.6666666666667,0.2672380864884117,0.3516666666666666,0.39366666666666666,0.7453333333333334,0.1263333333333333,0.3456666666666666,0.341,121.5,9.333333333333334,54.333333333333336,67.66666666666667,119.33333333333333,20.666666666666668,3.6666666666666665,53.666666666666664,6.333333333333333,121.33333333333333,15.666666666666666,,,-0.5223333333333333,2.5233333333333334,7.57,3.98,0.717,128.9,4,40.0,10.0,LG
오재원,2020,35,2B,129.5,403.5,0.27471167601372304,0.35050000000000003,0.40800000000000003,0.7585,0.13299999999999995,0.34199999999999997,0.3385,105.44999999999999,11.0,60.5,60.5,113.5,20.0,1.0,44.0,2.0,102.0,11.0,,,0.9160000000000001,2.03,4.06,,,,3,19.0,6.33,두산
박석민,2020,35,3B,105.33333333333333,332.3333333333333,0.2552992514606047,0.37399999999999994,0.4523333333333333,0.8263333333333334,0.19666666666666663,0.2896666666666667,0.37033333333333335,121.36666666666667,16.333333333333332,61.666666666666664,44.0,85.0,15.333333333333334,0.6666666666666666,51.333333333333336,13.333333333333334,80.33333333333333,1.0,,,-0.307,1.9633333333333336,5.890000000000001,3.22,0.871,144.2,3,34.0,11.33,NC
김성현,2021,31,IF,137.33333333333334,394.6666666666667,0.26490811107114776,0.32466666666666666,0.326,0.6506666666666666,0.06133333333333324,0.285,0.30233333333333334,72.86666666666666,2.3333333333333335,38.0,43.333333333333336,104.33333333333333,14.666666666666666,1.3333333333333333,30.666666666666668,5.333333333333333,37.333333333333336,4.333333333333333,,,-2.421666666666667,0.56,1.6800000000000002,0.89,0.657,71.9,3,11.0,3.67,SK
김용의,2021,33,OF,109.66666666666667,136.0,0.2406700229721205,0.3036666666666667,0.2936666666666667,0.5973333333333333,0.052999999999999936,0.2956666666666667,0.2776666666666667,72.13333333333334,0.3333333333333333,14.0,30.333333333333332,31.666666666666668,2.6666666666666665,1.3333333333333333,14.333333333333334,0.6666666666666666,28.333333333333332,8.333333333333334,,,-0.6,0.003333333333333336,0.010000000000000009,0.2,0.654,77.1,1,2.0,2.0,LG
허경민,2021,28,3B,127.66666666666667,476.0,0.31462408126821945,0.36933333333333335,0.424,0.7933333333333333,0.10933333333333332,0.325,0.3539999999999999,123.3,7.0,65.66666666666667,75.33333333333333,149.66666666666666,26.666666666666668,2.3333333333333335,33.666666666666664,12.666666666666666,38.666666666666664,15.0,,,-0.244,2.7166666666666663,8.149999999999999,2.96,0.824,134.6,7,85.0,12.14,두산
최주환,2021,32,2B,139.0,514.0,0.3199083169613621,0.3815,0.5275,0.909,0.2079999999999999,0.3375,0.396,150.8,21.0,98.0,75.0,164.5,34.0,5.0,49.0,8.5,77.5,1.5,,,1.4095,5.495,10.99,4.41,0.839,139.4,4,42.0,10.5,SK
오재일,2021,33,1B,126.66666666666667,446.3333333333333,0.2949218469440813,0.37733333333333335,0.5053333333333333,0.8826666666666667,0.21066666666666664,0.3373333333333333,0.38633333333333336,154.46666666666667,21.333333333333332,90.33333333333333,69.0,132.0,26.666666666666668,1.0,58.666666666666664,3.0,104.0,1.6666666666666667,,,1.0563333333333336,5.75,17.25,5.73,0.872,155.5,4,50.0,12.5,삼성
최형우,2021,38,OF,139.66666666666666,502.0,0.33128662609152626,0.42,0.5413333333333333,0.9613333333333333,0.21033333333333334,0.36133333333333334,0.4176666666666667,149.96666666666667,23.333333333333332,101.33333333333333,83.33333333333333,167.0,34.0,1.0,73.66666666666667,6.333333333333333,88.33333333333333,1.0,,,3.7126666666666672,5.796666666666667,17.39,7.06,1.023,164.8,3,47.0,15.67,KIA
정수빈,2021,29,OF,96.66666666666667,343.0,0.31020408163265306,0.3836666666666666,0.3986666666666667,0.7823333333333334,0.08866666666666663,0.3426666666666667,0.35833333333333334,123.96666666666665,2.3333333333333335,41.0,59.666666666666664,99.66666666666667,12.666666666666666,4.666666666666667,41.0,3.0,43.0,15.333333333333334,,,-0.551,2.2600000000000002,6.78,3.52,0.764,122.4,6,56.0,9.33,두산
김재호,2021,35,SS,127.0,393.6666666666667,0.28913566561533616,0.377,0.39466666666666667,0.7716666666666666,0.10533333333333322,0.3203333333333333,0.35000000000000003,121.0,7.333333333333333,54.0,59.0,114.0,19.0,0.3333333333333333,54.666666666666664,5.0,60.0,5.0,,,-0.4876666666666667,2.6300000000000003,7.890000000000001,1.85,0.708,113.3,3,25.0,8.33,두산
이대호,2021,39,1B,141.0,523.3333333333334,0.3031274436455705,0.36766666666666664,0.49333333333333335,0.8610000000000001,0.18999999999999997,0.30833333333333335,0.37833333333333335,107.46666666666668,24.333333333333332,107.66666666666667,65.33333333333333,159.0,26.666666666666668,0.3333333333333333,47.666666666666664,9.666666666666666,69.33333333333333,0.3333333333333333,,,1.127,3.5566666666666666,10.67,2.69,0.806,93.8,2,26.0,13.0,롯데
이원석,2021,34,3B,120.0,425.6666666666667,0.2713953331655073,0.3473333333333333,0.447,0.7943333333333333,0.1753333333333333,0.2973333333333333,0.3526666666666667,90.83333333333333,17.333333333333332,81.0,54.666666666666664,116.33333333333333,22.333333333333332,0.3333333333333333,48.0,5.666666666666667,86.0,1.3333333333333333,,,0.5013333333333333,1.63,4.89,1.2,0.748,79.1,3,20.0,6.67,삼성
박해민,2022,32,OF,134.33333333333334,483.0,0.27342262717276083,0.3486666666666667,0.37333333333333335,0.7220000000000001,0.09999999999999999,0.313,0.32766666666666666,84.96666666666667,7.0,51.0,75.33333333333333,131.66666666666666,18.666666666666668,4.333333333333333,55.333333333333336,2.6666666666666665,80.33333333333333,31.333333333333332,,,-1.6623333333333334,2.2733333333333334,6.82,2.93,0.76,109.4,4,60.0,15.0,LG
손아섭,2022,36,OF,138.0,531.3333333333334,0.3219873062445902,0.38833333333333336,0.43,0.8183333333333334,0.108,0.35800000000000004,0.3746666666666667,119.43333333333334,8.0,68.66666666666667,88.0,171.33333333333334,31.333333333333332,1.0,58.0,2.0,71.66666666666667,9.666666666666666,,,0.9986666666666667,4.196666666666666,12.59,3.5,0.787,119.9,4,64.0,16.0,NC
정훈,2022,37,1B,123.0,448.0,0.29365151058917993,0.381,0.4325,0.8135,0.139,0.33899999999999997,0.3665,110.7,12.5,68.5,71.0,131.5,23.0,1.0,62.0,3.5,87.0,9.5,,,-0.39949999999999997,3.4450000000000003,6.890000000000001,3.41,0.818,113.0,3,18.0,6.0,롯데
나성범,2022,33,OF,99.0,396.0,0.3233675586816504,0.3893333333333333,0.5833333333333334,0.9726666666666666,0.2596666666666666,0.39999999999999997,0.4176666666666667,156.03333333333333,23.666666666666668,75.66666666666667,76.66666666666667,121.33333333333333,26.0,1.3333333333333333,33.0,7.0,109.66666666666667,2.0,,,1.391333333333333,3.77,11.31,3.48,0.844,118.8,6,150.0,25.0,KIA
박병호,2022,36,1B,111.0,383.3333333333333,0.24359247551568786,0.35766666666666663,0.48,0.8376666666666667,0.23666666666666666,0.28400000000000003,0.36933333333333335,129.83333333333334,24.666666666666668,80.0,65.33333333333333,94.33333333333333,17.333333333333332,0.0,60.666666666666664,12.0,124.0,0.0,,,0.026000000000000023,3.923333333333334,11.770000000000001,1.81,0.753,98.5,3,30.0,10.0,KT
