player_id,player_name,year,award
76812,이재원,2014,NT
60263,이재학,2014,NT
60768,이태양,2014,NT
95657,임창용,2014,NT
76455,차우찬,2014,NT
62363,한현희,2014,NT
65042,홍성무,2014,NT
76313,황재균,2014,NT
74540,강민호,2015,NT
77829,김광현,2015,NT
79402,김상수,2015,NT
74206,김재호,2015,NT
76290,김현수,2015,NT
62947,나성범,2015,NT
76249,민병헌,2015,NT
75125,박병호,2015,NT
77532,손아섭,2015,NT
61411,심창민,2015,NT
76232,양의지,2015,NT
77248,오재원,2015,NT
73117,우규민,2015,NT
71564,이대호,2015,NT
74163,이용규,2015,NT
60768,이태양,2015,NT
76329,이현승,2015,NT
78352,임창민,2015,NT
74513,장원준,2015,NT
75808,정근우,2015,NT
71801,정대현,2015,NT
74857,정우람,2015,NT
65067,조무근,2015,NT
63342,조상우,2015,NT
76455,차우찬,2015,NT
79240,허경민,2015,NT
76313,황재균,2015,NT
62404,구자욱,2017,NT
65933,구창모,2017,NT
66145,김대현,2017,NT
67246,김명신,2017,NT
62934,김성욱,2017,NT
62648,김윤동,2017,NT
74206,김재호,2017,NT
78122,김태군,2017,NT
71752,김태균,2017,NT
64300,김하성,2017,NT
66508,나경민,2017,NT
62234,류지혁,2017,NT
76249,민병헌,2017,NT
79215,박건우,2017,NT
62907,박민우,2017,NT
74465,박석민,2017,NT
64021,박세웅,2017,NT
63512,박진형,2017,NT
76858,박희수,2017,NT
78168,서건창,2017,NT
77532,손아섭,2017,NT
64017,심재민,2017,NT
61411,심창민,2017,NT
65115,안익훈,2017,NT
76232,양의지,2017,NT
77637,양현종,2017,NT
77248,오재원,2017,NT
73117,우규민,2017,NT
76118,원종현,2017,NT
67008,이대은,2017,NT
71564,이대호,2017,NT
74163,이용규,2017,NT
67341,이정후,2017,NT
76329,이현승,2017,NT
62754,임기영,2017,NT
61891,임정우,2017,NT
78352,임창민,2017,NT
95657,임창용,2017,NT
63202,장승현,2017,NT
77318,장시환,2017,NT
74513,장원준,2017,NT
77927,장필준,2017,NT
63950,장현식,2017,NT
75808,정근우,2017,NT
63450,정현,2017,NT
65060,주권,2017,NT
76455,차우찬,2017,NT
66606,최원준,2017,NT
72443,최형우,2017,NT
62700,하주석,2017,NT
63722,한승택,2017,NT
63248,함덕주,2017,NT
79240,허경민,2017,NT
78224,김재환,2018,NT
64300,김하성,2018,NT
76290,김현수,2018,NT
62907,박민우,2018,NT
75125,박병호,2018,NT
60841,박종훈,2018,NT
67266,박치국,2018,NT
62415,박해민,2018,NT
77532,손아섭,2018,NT
79608,안치홍,2018,NT
76232,양의지,2018,NT
77637,양현종,2018,NT
79109,오지환,2018,NT
77211,이용찬,2018,NT
76812,이재원,2018,NT
67341,이정후,2018,NT
62754,임기영,2018,NT
61101,임찬규,2018,NT
77927,장필준,2018,NT
74857,정우람,2018,NT
65320,최원태,2018,NT
66451,최충연,2018,NT
63248,함덕주,2018,NT
76313,황재균,2018,NT
68050,강백호,2019,NT
67119,고우석,2019,NT
77829,김광현,2019,NT
79402,김상수,2019,NT
78224,김재환,2019,NT
64300,김하성,2019,NT
76290,김현수,2019,NT
65643,문경찬,2019,NT
76249,민병헌,2019,NT
79215,박건우,2019,NT
62907,박민우,2019,NT
75125,박병호,2019,NT
62244,박세혁,2019,NT
60841,박종훈,2019,NT
76232,양의지,2019,NT
77637,양현종,2019,NT
76118,원종현,2019,NT
67603,이승호,2019,NT
66291,이영하,2019,NT
77211,이용찬,2019,NT
67341,이정후,2019,NT
63342,조상우,2019,NT
76455,차우찬,2019,NT
75847,최정,2019,NT
69813,하재훈,2019,NT
63248,함덕주,2019,NT
79240,허경민,2019,NT
76313,황재균,2019,NT
74540,강민호,2021,NT
68050,강백호,2021,NT
64001,고영표,2021,NT
67119,고우석,2021,NT
65764,김민우,2021,NT
51516,김진욱,2021,NT
76290,김현수,2021,NT
67304,김혜성,2021,NT
79215,박건우,2021,NT
64021,박세웅,2021,NT
62415,박해민,2021,NT
76232,양의지,2021,NT
75421,오승환,2021,NT
75334,오재일,2021,NT
79109,오지환,2021,NT
69446,원태인,2021,NT
51648,이의리,2021,NT
67341,이정후,2021,NT
63342,조상우,2021,NT
76455,차우찬,2021,NT
66606,최원준,2021,NT
76267,최주환,2021,NT
79240,허경민,2021,NT
76313,황재균,2021,NT
68050,강백호,2022,NT
67119,고우석,2022,NT
68220,곽빈,2022,NT
53344,김동헌,2022,NT
67449,김성윤,2022,NT
68900,김영규,2022,NT
51907,김주원,2022,NT
50458,김지찬,2022,NT
68912,김형준,2022,NT
67304,김혜성,2022,NT
67539,나균안,2022,NT
69737,노시환,2022,NT
52701,문동주,2022,NT
69102,문보경,2022,NT
67893,박성한,2022,NT
64021,박세웅,2022,NT
52060,박영현,2022,NT
69446,원태인,2022,NT
52591,윤동희,2022,NT
69159,정우영,2022,NT
66606,최원준,2022,NT
52639,최지민,2022,NT
50854,최지훈,2022,NT
68050,강백호,2023,NT
64001,고영표,2023,NT
67119,고우석,2023,NT
68220,곽빈,2023,NT
65933,구창모,2023,NT
77829,김광현,2023,NT
62528,김원중,2023,NT
50157,김윤식,2023,NT
51907,김주원,2023,NT
76290,김현수,2023,NT
67304,김혜성,2023,NT
51344,김휘집,2023,NT
62947,나성범,2023,NT
69737,노시환,2023,NT
52701,문동주,2023,NT
79215,박건우,2023,NT
75125,박병호,2023,NT
64021,박세웅,2023,NT
62415,박해민,2023,NT
50030,소형준,2023,NT
76232,양의지,2023,NT
77637,양현종,2023,NT
79109,오지환,2023,NT
69446,원태인,2023,NT
77211,이용찬,2023,NT
51648,이의리,2023,NT
67341,이정후,2023,NT
79456,이지영,2023,NT
69159,정우영,2023,NT
68242,정철원,2023,NT
50662,정해영,2023,NT
65060,주권,2023,NT
75847,최정,2023,NT
50854,최지훈,2023,NT
64001,고영표,2024,NT
53609,곽도규,2024,NT
68220,곽빈,2024,NT
52605,김도영,2024,NT
53754,김서현,2024,NT
51907,김주원,2024,NT
54263,김택연,2024,NT
68912,김형준,2024,NT
51344,김휘집,2024,NT
51551,나승엽,2024,NT
69102,문보경,2024,NT
79365,박동원,2024,NT
67893,박성한,2024,NT
52060,박영현,2024,NT
50030,소형준,2024,NT
65357,송성문,2024,NT
65207,신민재,2024,NT
50106,유영찬,2024,NT
52591,윤동희,2024,NT
66291,이영하,2024,NT
50167,이주형,2024,NT
61101,임찬규,2024,NT
50662,정해영,2024,NT
51897,조병현,2024,NT
51264,최승용,2024,NT
66606,최원준,2024,NT
52639,최지민,2024,NT
66108,홍창기,2024,NT
64001,고영표,2026,NT
68220,곽빈,2026,NT
62404,구자욱,2026,NT
68900,김영규,2026,NT
51907,김주원,2026,NT
68912,김형준,2026,NT
67304,김혜성,2026,NT
73211,노경은,2026,NT
69737,노시환,2026,NT
76715,류현진,2026,NT
69102,문보경,2026,NT
53764,문현빈,2026,NT
79365,박동원,2026,NT
62415,박해민,2026,NT
50030,소형준,2026,NT
67143,손주영,2026,NT
65207,신민재,2026,NT
52001,안현민,2026,NT
50106,유영찬,2026,NT
55743,정우주,2026,NT
51897,조병현,2026,NT
