collect_year,playerId,playerName,teamName,isRetire,isPlayer,isQualified,hitterGameCount,hitterAb,hitterHra,hitterObp,hitterSlg,hitterOps,hitterIsop,hitterBabip,hitterWoba,hitterWrcPlus,hitterHr,hitterRbi,hitterRun,hitterHit,hitterH2,hitterH3,hitterBb,hitterHp,hitterKk,hitterSb,hitterCs,hitterGd,hitterWpa,hitterWar,sort_source
2015,77463,채태인,삼성,Y,Y,False,104,333,0.3483483483483483,0.408,0.477,0.885,0.129,0.456,0.387,0.0,8,49,35,116,19,0,33,3,92,0,,,0.823,0.0,hitterWpa
2015,65104,한나한,LG,N,Y,False,32,107,0.3271028037383177,0.4,0.523,0.923,0.196,0.413,0.409,0.0,4,22,17,35,9,0,12,3,31,0,,,0.876,0.0,hitterWpa
2015,79453,오정복,KT,Y,Y,False,66,239,0.2594142259414226,0.355,0.377,0.732,0.118,0.273,0.329,0.0,5,29,34,62,11,1,33,3,26,3,,,1.379,0.0,hitterWpa
2015,99222,홍성흔,두산,Y,Y,False,93,301,0.2624584717607973,0.362,0.372,0.734,0.1099999999999999,0.306,0.343,0.0,7,46,39,79,12,0,42,5,59,8,,,0.367,0.0,hitterSb
2015,71207,김원섭,KIA,N,Y,False,110,277,0.2671480144404332,0.388,0.39,0.778,0.123,0.303,0.356,0.0,5,33,45,74,13,3,53,3,46,8,,,0.395,0.0,hitterSb
2015,99606,정성훈,LG,N,Y,False,117,363,0.2837465564738292,0.392,0.408,0.8,0.124,0.321,0.357,0.0,9,45,47,103,16,1,54,13,65,9,,,0.675,0.0,hitterSb
2015,78168,서건창,넥센,N,Y,False,85,312,0.2980769230769231,0.381,0.429,0.81,0.131,0.314,0.355,0.0,3,37,52,93,24,4,42,1,24,9,,,1.641,0.0,hitterSb
2015,79113,문선재,LG,N,Y,False,103,212,0.2264150943396226,0.31,0.368,0.678,0.142,0.279,0.307,0.0,5,27,27,48,13,1,23,3,54,9,,,-1.105,0.0,hitterSb
2015,78517,하준호,KT,N,Y,False,80,248,0.2580645161290322,0.332,0.371,0.703,0.1129999999999999,0.341,0.326,0.0,6,26,33,64,10,0,21,7,73,10,,,0.11,0.0,hitterSb
2015,78666,최용규,KIA,N,Y,False,69,182,0.2252747252747252,0.281,0.313,0.594,0.088,0.281,0.282,0.0,2,18,23,41,4,3,14,1,43,10,,,-1.231,0.0,hitterSb
2015,76368,유재신,넥센,Y,Y,False,62,27,0.2592592592592592,0.333,0.333,0.666,0.074,0.412,0.286,0.0,0,3,21,7,2,0,3,0,10,10,,,0.059,0.0,hitterSb
2015,61893,박계현,SK,N,Y,False,97,264,0.231060606060606,0.294,0.239,0.533,0.0079999999999999,0.277,0.26,0.0,0,21,27,61,2,0,20,4,45,10,,,-2.008,0.0,hitterSb
2015,71842,정상호,SK,Y,Y,False,113,279,0.2544802867383512,0.342,0.43,0.772,0.176,0.316,0.333,0.0,12,49,34,71,11,1,22,15,80,1,,,-0.083,0.0,hitterHr
2015,71432,박한이,삼성,Y,Y,False,94,367,0.2997275204359673,0.389,0.458,0.847,0.158,0.337,0.377,0.0,11,52,62,110,17,4,53,1,63,6,,,-0.041,0.0,hitterHr
2015,79456,이지영,삼성,N,Y,False,124,361,0.3047091412742382,0.333,0.346,0.679,0.0409999999999999,0.327,0.3,0.0,1,55,36,110,10,1,14,4,32,1,,,-0.268,0.0,hitterRbi
2015,70553,박기혁,KT,Y,Y,False,126,300,0.28,0.35,0.34,0.69,0.06,0.384,0.304,0.0,1,30,27,84,13,1,30,3,84,3,,,-1.661,0.0,hitterGameCount
2015,61102,유강남,LG,N,Y,False,126,279,0.2724014336917563,0.333,0.405,0.738,0.133,0.313,0.329,0.0,8,37,26,76,11,1,19,7,55,2,,,-1.564,0.0,hitterGameCount
2015,64153,양석환,LG,N,Y,False,125,358,0.2597765363128491,0.293,0.394,0.687,0.134,0.306,0.319,0.0,8,48,36,93,22,1,18,0,75,6,,,-1.26,0.0,hitterGameCount
2015,76100,이병규,LG,Y,Y,False,70,230,0.2434782608695652,0.37,0.448,0.818,0.205,0.326,0.358,0.0,12,35,42,56,9,1,43,3,83,2,,,-0.254,0.0,hitterHr
2015,60558,오태곤,롯데,N,Y,False,122,327,0.2752293577981651,0.318,0.41,0.728,0.1349999999999999,0.373,0.321,0.0,8,43,57,90,18,1,17,4,100,15,,,-2.91,0.0,hitterGameCount
2015,71848,조동화,SK,Y,Y,False,119,245,0.2612244897959184,0.351,0.318,0.669,0.0569999999999999,0.318,0.295,0.0,2,15,38,64,6,1,30,5,50,18,,,-1.36,0.0,hitterSb
2015,78753,김지열,KT,N,Y,False,72,228,0.2543859649122807,0.306,0.386,0.692,0.132,0.349,0.304,0.0,7,27,31,58,7,1,16,1,75,15,,,-1.379,0.0,hitterSb
2015,63913,최재원,NC,N,Y,False,114,85,0.2470588235294117,0.366,0.412,0.778,0.1649999999999999,0.352,0.365,0.0,2,13,31,21,8,0,10,6,29,14,,,-0.764,0.0,hitterSb
2015,62409,박찬도,삼성,Y,Y,False,116,89,0.2134831460674157,0.307,0.258,0.565,0.045,0.297,0.274,0.0,0,9,32,19,2,1,8,4,25,13,,,-0.764,0.0,hitterSb
2015,65653,김호령,KIA,N,Y,False,103,257,0.2178988326848249,0.274,0.284,0.558,0.0659999999999999,0.318,0.25,0.0,1,21,31,56,10,2,15,5,83,11,,,-2.447,0.0,hitterSb
2015,73342,이택근,넥센,Y,Y,False,105,347,0.3256484149855908,0.402,0.464,0.866,0.138,0.358,0.388,0.0,10,44,61,113,16,1,44,3,53,11,,,1.482,0.0,hitterSb
2015,72559,신종길,KIA,Y,Y,False,99,313,0.2619808306709265,0.328,0.377,0.705,0.1149999999999999,0.338,0.328,0.0,5,28,56,82,13,4,25,6,80,19,,,1.108,0.0,hitterSb
2015,64158,스나이더,넥센,N,Y,True,113,431,0.2807424593967517,0.349,0.527,0.876,0.246,0.345,0.378,0.0,26,71,88,121,26,1,37,11,135,4,,,1.076,0.0,hitterOps
2015,75151,정의윤,SK,N,Y,False,91,259,0.3204633204633205,0.397,0.537,0.934,0.217,0.342,0.409,0.0,14,51,38,83,14,0,26,9,46,5,,,1.631,0.0,hitterHr
2015,64699,필,KIA,N,Y,True,143,536,0.3246268656716418,0.372,0.517,0.889,0.192,0.339,0.383,0.0,22,101,81,174,35,1,43,3,74,14,,,4.666,0.0,hitterOps
2015,60496,김동은,KT,Y,Y,False,23,35,0.4285714285714285,0.447,0.486,0.933,0.0569999999999999,0.5,0.411,0.0,0,3,2,15,2,0,2,0,6,1,,,0.08,0.0,hitterWar
2015,77462,김동욱,KT,Y,Y,False,21,51,0.196078431372549,0.369,0.255,0.624,0.059,0.286,0.327,0.0,0,3,8,10,3,0,13,1,16,1,,,-0.522,0.0,hitterWar
2015,78536,김대우,롯데,N,Y,False,39,92,0.1739130434782608,0.224,0.304,0.528,0.13,0.26,0.229,0.0,3,9,9,16,1,1,5,1,39,3,,,-1.063,0.0,hitterWar
2015,65513,김대륙,롯데,N,Y,False,71,54,0.1481481481481481,0.246,0.148,0.394,0.0,0.216,0.194,0.0,0,1,6,8,0,0,7,0,17,0,,,-0.996,0.0,hitterWar
2015,78765,김다원,KIA,N,Y,False,108,245,0.2448979591836734,0.318,0.343,0.661,0.098,0.314,0.31,0.0,5,30,31,60,9,0,15,12,67,1,,,-0.838,0.0,hitterWar
2015,77869,김기현,SK,Y,Y,False,9,7,0.4285714285714285,0.556,0.429,0.985,0.0,0.75,0.46,0.0,0,0,0,3,0,0,2,0,3,0,,,-0.036,0.0,hitterWar
2015,62919,김기현,한화,N,Y,False,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,,,0.0,0.0,hitterWar
2015,76119,김기표,KT,N,Y,False,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,,,0.0,0.0,hitterWar
2015,70142,김광수,KIA,Y,Y,False,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,,,0.0,0.0,hitterWar
