player_name,player_id,birth_year,source,confidence,matched_title
이성원,55632,2006,wikidata,단일 후보,
이승민,54806,2005,wikidata,소속팀 일치,
이승원,53302,2004,wikidata,단일 후보,
이율예,55832,2006,wikidata,단일 후보,
이재상,54305,2005,wikidata,단일 후보,
이지강,69108,1999,wikidata,단일 후보,
이채호,68896,1998,wikidata,단일 후보,
이호민,55663,2006,wikidata,단일 후보,
이호성,53455,2004,wikidata,단일 후보,
임상현,54900,2005,wikidata,단일 후보,
임종찬,50704,2001,wikidata,단일 후보,
장재영,51359,2002,wikidata,단일 후보,
정성종,68556,1995,wikidata,단일 후보,
정우영,69159,1999,wikidata,단일 후보,
정우준,51546,2000,wikidata,단일 후보,
정해원,53659,2004,wikidata,단일 후보,
정현승,54815,2001,wikidata,단일 후보,
제환유,50211,2000,wikidata,단일 후보,
조민석,52903,1998,wikidata,단일 후보,
조이현,64768,1995,wikidata,단일 후보,
주승우,52330,2000,wikidata,단일 후보,
최상민,68805,1999,wikidata,단일 후보,
최성민,51007,2002,wikidata,소속팀 일치,
최승민,65905,1996,wikidata,단일 후보,
최정용,65464,1996,wikidata,단일 후보,
최현석,54803,2003,wikidata,단일 후보,
코엔 윈,55138,1999,wikidata,단일 후보,
하재훈,69813,1990,wikidata,단일 후보,
함창건,50108,2001,wikidata,단일 후보,
현원회,50840,2001,wikidata,단일 후보,
홍원표,50430,2001,wikidata,단일 후보,
황동재,50441,2001,wikidata,단일 후보,
