collect_year,player_id,player_name,team,position,is_qualified,games,ab,avg,obp,slg,ops,isop,babip,woba,wrc_plus,hr,rbi,run,hit,h2,h3,bb,hbp,so,sb,wpa,war,season_completion
2016,62147,조윤준,LG,,False,2,1,1.0,1.0,1.0,2.0,0.0,1.0,0.9,0.0,0,0,1,1,0,0,0,0,0,0,0.014,,1.0
2017,62147,조윤준,LG,,False,25,38,0.2368421052631578,0.268,0.237,0.505,0.0,0.273,0.243,50.5,0,8,3,9,0,0,2,0,6,0,-0.394,-0.16,1.0
2020,64768,조이현,SK,투수,False,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,1.0
2010,98144,조인성,LG,,True,133,457,0.3172866520787746,0.374,0.558,0.932,0.241,0.333,0.394,0.0,28,107,69,145,24,1,41,3,83,2,0.0,,1.0
2011,98144,조인성,LG,,True,117,390,0.2666666666666666,0.345,0.428,0.773,0.1609999999999999,0.291,0.349,0.0,15,59,46,104,14,2,44,3,70,2,0.0,,1.0
2012,98144,조인성,SK,,False,104,284,0.2711267605633803,0.313,0.412,0.725,0.1409999999999999,0.313,0.318,0.0,9,40,32,77,13,0,16,2,60,0,0.0,,1.0
2013,98144,조인성,SK,,False,88,207,0.2125603864734299,0.244,0.362,0.606,0.149,0.272,0.276,0.0,7,29,16,44,10,0,7,2,65,0,0.0,,1.0
2014,98144,조인성,한화,,False,75,164,0.2256097560975609,0.29,0.396,0.686,0.17,0.25,0.305,0.0,7,34,16,37,7,0,14,2,40,0,0.589,,1.0
2015,98144,조인성,한화,,False,106,276,0.2318840579710145,0.288,0.391,0.679,0.159,0.299,0.296,0.0,11,44,33,64,11,0,16,6,89,0,-0.38,,1.0
2016,98144,조인성,한화,,False,76,137,0.1678832116788321,0.186,0.248,0.434,0.0799999999999999,0.208,0.183,0.0,3,7,10,23,2,0,2,1,38,0,-1.7970000000000002,,1.0
2017,98144,조인성,한화,,False,16,29,0.1379310344827586,0.138,0.138,0.276,0.0,0.2,0.124,-48.7,0,0,1,4,0,0,0,0,9,0,-0.419,-0.5,1.0
2010,72313,조재호,넥센,,False,46,33,0.1212121212121212,0.194,0.121,0.315,0.0,0.167,0.161,0.0,0,4,6,4,0,0,2,1,9,0,0.0,,1.0
2011,72313,조재호,SK,,False,1,4,0.75,0.8,0.75,1.55,0.0,1.0,0.684,0.0,0,0,1,3,0,0,1,0,1,0,0.0,,1.0
2012,72313,조재호,SK,,False,4,3,0.3333333333333333,0.333,0.667,1.0,0.334,0.5,0.413,0.0,0,2,2,1,1,0,0,0,1,0,0.0,,1.0
2013,63792,조정원,한화,,False,43,47,0.1914893617021276,0.309,0.191,0.5,0.0,0.273,0.243,0.0,0,2,5,9,0,0,8,0,14,4,0.0,,1.0
2014,63792,조정원,한화,,False,20,56,0.125,0.123,0.179,0.302,0.0539999999999999,0.149,0.126,0.0,0,6,2,7,1,1,0,0,10,0,-0.653,,1.0
2015,63792,조정원,한화,,False,2,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,-0.007,,1.0
2018,75537,조정훈,롯데,,False,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,1.0
2010,71835,조중근,넥센,,False,21,29,0.2068965517241379,0.258,0.207,0.465,0.0,0.261,0.204,0.0,0,3,2,6,0,0,2,0,6,0,0.0,,1.0
2011,71835,조중근,넥센,,False,36,98,0.3265306122448979,0.405,0.51,0.915,0.183,0.397,0.379,0.0,3,16,14,32,5,2,12,1,22,2,0.0,,1.0
2012,71835,조중근,넥센,,False,45,95,0.1368421052631579,0.222,0.168,0.39,0.031,0.185,0.185,0.0,1,5,3,13,0,0,10,1,31,1,0.0,,1.0
2013,71835,조중근,넥센,,False,10,10,0.3,0.3,0.3,0.6,0.0,0.3,0.27,0.0,0,2,0,3,0,0,0,0,0,0,0.0,,1.0
2015,71835,조중근,KT,,False,25,36,0.2222222222222222,0.282,0.306,0.588,0.0839999999999999,0.241,0.279,0.0,1,2,4,8,0,0,3,0,6,0,-0.661,,1.0
2013,63730,조지훈,한화,,False,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,,1.0
2010,73657,조태수,KIA,,False,4,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,,1.0
2011,74358,조평호,넥센,,False,5,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,3,0,0.0,,1.0
2013,74358,조평호,NC,,False,26,79,0.2658227848101265,0.318,0.418,0.736,0.1519999999999999,0.358,0.324,0.0,2,7,12,21,6,0,6,0,24,1,0.0,,1.0
2014,74358,조평호,NC,,False,2,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,-0.05,,1.0
2015,74358,조평호,NC,,False,22,22,0.3636363636363636,0.364,0.591,0.955,0.2269999999999999,0.467,0.406,0.0,1,3,4,8,2,0,0,0,6,0,-0.074,,1.0
2016,74358,조평호,NC,,False,3,6,0.1666666666666666,0.286,0.167,0.453,0.0,0.2,0.231,0.0,0,0,1,1,0,0,1,0,1,0,-0.296,,1.0
